Name,Revenue_2022,Revenue(% change)_2022,Profits in millions_2022,Market value_2022,Employees_2022,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021,Sector,City,State,Ceo_woman
Comcast,116385.0,12.4,14159.0,212245.8,"189,000",103564.0,-0.049,10534.0,247859.3,168000,Telecommunications,Philadelphia,PA,no
Phillips 66,114852.0,75.4,1317.0,41561.0,"14,000",65494.0,-0.402,-3975.0,35703.6,14300,Energy,Houston,TX,no
Valero Energy,108332.0,80.2,930.0,41572.2,"9,804",60115.0,-0.415,-1421.0,29267.2,9964,Energy,San Antonio,TX,no
Dell Technologies,106995.0,13.6,5563.0,38164.4,"133,000",94224.0,0.022,3250.0,67229.1,158000,Technology,Round Rock,TX,no
Target,106005.0,13.3,6946.0,98134.4,"450,000",93561.0,0.198,4368.0,98760.9,409000,Retailing,Minneapolis,MN,no
Fannie Mae,101543.0,-4.6,22176.0,909.1,"7,400",106437.0,-0.115,11805.0,2397.2,7700,Financials,Washington,DC,no
Lowe's,96250.0,7.4,8442.0,133761.1,"270,000",89597.0,0.242,5835.0,136407.9,280000,Retailing,Mooresville,NC,no
Bank of America,93851.0,0.1,31978.0,332433.3,"208,248",93753.0,-0.175,17894.0,333788.4,212505,Financials,Charlotte,NC,no
Johnson & Johnson,93775.0,13.6,20878.0,466046.7,"141,700",82584.0,0.006,14714.0,432685.3,134500,Health Care,New Brunswick,NJ,no
FedEx,83959.0,21.3,5231.0,59971.3,"484,000",69217.0,-0.007,1286.0,75367.8,418000,Transportation,Memphis,TN,no
Humana,83064.0,7.7,2933.0,55154.9,"95,500",77155.0,0.189,3367.0,54087.7,48700,Health Care,Louisville,KY,no
Wells Fargo,82407.0,2.6,21548.0,184225.0,"247,848",80303.0,-0.227,3301.0,161521.0,268531,Financials,San Francisco,CA,no
Pfizer,81288.0,94.0,21979.0,292385.3,"79,000",41908.0,-0.19,9616.0,202096.9,78500,Health Care,New York,NY,no
Citigroup,79865.0,-10.1,21952.0,105330.1,"221,768",88839.0,-0.141,11047.0,151806.4,210153,Financials,New York,NY,yes
PepsiCo,79474.0,12.9,7618.0,231528.2,"309,000",70372.0,0.048,7120.0,195207.7,291000,"Food, Beverages & Tobacco",Purchase,NY,no
Intel,79024.0,1.5,19868.0,202635.8,"121,100",77867.0,0.082,20899.0,260630.1,110600,Technology,Santa Clara,CA,no
Procter & Gamble,76118.0,7.3,14306.0,366271.6,"101,000",70950.0,0.048,13027.0,333493.1,99000,Household Products,Cincinnati,OH,no
General Electric,74196.0,-6.8,-6520.0,100810.2,"168,000",79619.0,-0.164,5704.0,115342.5,184000,Industrials,Boston,MA,no
MetLife,71080.0,4.8,6554.0,57986.5,"43,000",67842.0,-0.026,5407.0,53762.6,46500,Financials,New York,NY,no
Prudential Financial,70934.0,24.4,7724.0,44482.2,"40,916",57033.0,-0.12,-374.0,36022.4,41671,Financials,Newark,NJ,no
Albertsons,69690.4,11.6,850.2,16063.7,"300,000",62455.1,0.032,466.4,8877.7,270000,Food & Drug Stores,Boise,ID,no
Walt Disney,67418.0,3.1,1995.0,249718.1,"171,000",65388.0,-0.06,-2864.0,334952.5,203000,Media,Burbank,CA,no
Energy Transfer,67417.0,73.1,5470.0,34496.9,"12,558",38954.0,-0.281,-648.0,20754.7,11421,Energy,Dallas,TX,no
Lockheed Martin,67044.0,2.5,6315.0,117648.2,"114,000",65398.0,0.093,6833.0,102984.2,114000,Aerospace & Defense,Bethesda,MD,no
Freddie Mac,65898.0,-0.5,12109.0,510.3,"7,301",66228.0,-0.118,7326.0,1332.6,6922,Financials,McLean,VA,no
Goldman Sachs Group,64989.0,21.5,21635.0,117667.6,"43,900",53498.0,-0.008,9459.0,116903.0,40500,Financials,New York,NY,no
Raytheon Technologies,64388.0,13.8,3864.0,147640.9,"174,000",56587.0,-0.266,-3519.0,117143.9,181000,Aerospace & Defense,Waltham,MA,no
HP,63487.0,12.1,6503.0,38237.2,"51,000",56639.0,-0.036,2844.0,39579.5,53000,Technology,Palo Alto,CA,no
Boeing,62286.0,7.1,-4202.0,113058.7,"142,000",58158.0,-0.24,-11873.0,148664.8,141000,Aerospace & Defense,Chicago,IL,no
Morgan Stanley,61121.0,17.4,15034.0,155685.6,"74,814",52047.0,-0.033,10996.0,146161.9,68097,Financials,New York,NY,no
HCA Healthcare,58752.0,14.0,6956.0,75691.9,"244,000",51533.0,0.004,3754.0,63458.7,235000,Health Care,Nashville,TN,no
AbbVie,56197.0,22.7,11542.0,286332.4,"50,000",45804.0,0.377,4616.0,190989.4,47000,Health Care,North Chicago,IL,no
Dow,54968.0,42.6,6311.0,46839.7,"35,700",38542.0,-0.103,1225.0,47649.7,35700,Chemicals,Midland,MI,no
Tesla,53823.0,70.7,5519.0,1113707.8,"99,290",31536.0,0.283,721.0,641115.0,70757,Motor Vehicles & Parts,Austin,TX,no
Allstate,53228.0,18.8,1599.0,38553.7,"54,500",44791.0,0.003,5576.0,34800.2,42010,Financials,Northbrook,IL,no
Best Buy,51761.0,9.5,2454.0,20473.2,"81,375",47262.0,0.083,1798.0,28707.7,81600,Retailing,Richfield,MN,yes
Charter Communications,51682.0,7.5,4654.0,112803.4,"93,700",48097.0,0.051,3222.0,128965.7,96100,Telecommunications,Stamford,CT,no
Sysco,51297.8,-3.0,524.2,41433.1,"57,710",52893.3,-0.12,215.5,40189.8,57000,Wholesalers,Houston,TX,no
Merck,51216.0,6.7,13049.0,207400.5,"67,500",47994.0,0.025,7067.0,195062.0,73500,Health Care,Kenilworth,NJ,no
Caterpillar,50971.0,22.1,6489.0,119406.6,"107,700",41748.0,-0.224,2998.0,126439.6,97300,Industrials,Deerfield,IL,no
Cisco Systems,49818.0,1.0,10591.0,231636.4,"79,500",49301.0,-0.05,11214.0,218308.5,77500,Technology,San Jose,CA,no
TJX,48550.0,51.1,3282.8,71195.3,"340,000",32137.0,-0.23,90.5,79774.9,320000,Retailing,Framingham,MA,no
ConocoPhillips,48349.0,151.1,8079.0,129605.1,"9,900",19256.0,-0.475,-2701.0,71623.4,9700,Energy,Houston,TX,no
Progressive,47702.0,11.8,3350.9,66670.3,"49,077",42658.1,0.093,5704.6,55946.5,43326,Financials,Mayfield Village,OH,yes
Tyson Foods,47049.0,8.9,3047.0,32487.8,"137,000",43185.0,0.018,2061.0,27099.6,139000,"Food, Beverages & Tobacco",Springdale,AR,no
Bristol-Myers Squibb,46385.0,9.1,6994.0,155203.5,"32,200",42518.0,0.626,-9015.0,141027.9,30250,Health Care,New York,NY,no
Nike,44538.0,19.1,5727.0,212779.1,"73,300",37403.0,-0.044,2539.0,209499.8,75400,Apparel,Beaverton,OR,no
Deere,44024.0,23.9,5963.0,127456.6,"75,550",35540.0,-0.095,2751.0,117270.0,69634,Industrials,Moline,IL,no
American Express,43663.0,14.3,8060.0,141613.0,"64,000",38185.0,-0.188,3135.0,113635.8,63700,Financials,New York,NY,no
Abbott Laboratories,43075.0,24.5,7071.0,208725.8,"113,000",34608.0,0.085,4495.0,212300.1,109000,Health Care,Abbott Park,IL,no
Plains GP Holdings,42078.0,80.7,60.0,2242.9,"4,100",23290.0,-0.308,-568.0,1824.5,4400,Energy,Houston,TX,no
Enterprise Products Partners,40806.9,50.0,4637.7,56172.4,"6,911",27199.7,-0.17,3775.6,48038.8,7130,Energy,Houston,TX,no
Oracle,40479.0,3.6,13746.0,220736.6,"132,000",39068.0,-0.011,10135.0,202337.7,135000,Technology,Austin,TX,yes
Thermo Fisher Scientific,39211.0,21.7,7725.0,231057.4,"129,000",32218.0,0.261,6375.0,179719.4,84362,Technology,Waltham,MA,no
Coca-Cola,38655.0,17.1,9771.0,268769.7,"79,000",33014.0,-0.114,7747.0,227143.8,80300,"Food, Beverages & Tobacco",Atlanta,GA,no
General Dynamics,38469.0,1.4,3257.0,67081.0,"103,100",37925.0,-0.036,3167.0,51481.9,100700,Aerospace & Defense,Reston,VA,yes
Nucor,36483.9,81.2,6827.5,39954.0,"28,800",20139.7,-0.108,721.5,23975.7,26400,Materials,Charlotte,NC,no
Exelon,36347.0,10.0,1706.0,46683.9,"31,518",33039.0,-0.041,1963.0,42723.5,32340,Energy,Chicago,IL,no
Northrop Grumman,35667.0,-3.1,7005.0,69811.9,"88,000",36799.0,0.087,3189.0,53956.7,97000,Aerospace & Defense,Falls Church,VA,yes
3M,35355.0,9.9,5921.0,84738.3,"95,000",32184.0,0.001,5384.0,111642.1,94987,Chemicals,St. Paul,MN,no
Travelers,34816.0,8.9,3662.0,44129.4,"30,492",31981.0,0.013,2697.0,37933.0,30294,Financials,New York,NY,no
Arrow Electronics,34477.0,20.2,1108.2,7951.3,"20,700",28673.4,-0.008,584.4,8267.5,19600,Wholesalers,Centennial,CO,no
Honeywell International,34392.0,5.4,5542.0,133381.0,"99,000",32637.0,-0.111,4779.0,150972.4,103000,Industrials,Charlotte,NC,no
Dollar General,34220.4,1.4,2399.2,50953.0,"163,000",33746.8,0.216,2655.1,48479.7,158000,Retailing,Goodlettsville,TN,no
Qualcomm,33566.0,42.6,9043.0,172228.1,"45,000",23531.0,-0.031,5198.0,150622.2,41000,Technology,San Diego,CA,no
Capital One Financial,32033.0,1.2,12390.0,53260.4,"50,767",31643.0,-0.063,2714.0,58097.0,51985,Financials,McLean,VA,no
TD Synnex,31614.2,28.1,395.1,9853.6,"27,000",24675.6,0.039,529.2,5874.5,277900,Wholesalers,Fremont,CA,no
Philip Morris International,31405.0,9.4,9109.0,145614.7,"69,600",28694.0,-0.037,8056.0,138302.4,71000,"Food, Beverages & Tobacco",New York,NY,no
World Fuel Services,31337.0,53.9,73.7,1715.5,"4,414",20358.3,-0.447,109.6,2222.0,4300,Energy,Miami,FL,no
Performance Food Group,30398.9,21.2,40.7,7880.9,"22,885",25086.3,0.271,-114.1,7705.3,20000,Wholesalers,Richmond,VA,no
Delta Air Lines,29899.0,74.9,280.0,25322.0,"83,000",17095.0,-0.636,-12385.0,30809.7,74000,Transportation,Atlanta,GA,no
American Airlines Group,29882.0,72.4,-1993.0,11847.2,"123,400",17337.0,-0.621,-8885.0,15328.8,102700,Transportation,Fort Worth,TX,no
Netflix,29697.8,18.8,5116.2,166304.1,"11,300",24996.1,0.24,2761.4,231040.7,9400,Media,Los Gatos,CA,no
US Foods Holding,29487.0,28.8,164.0,8392.3,"28,000",22885.0,-0.118,-226.0,8427.5,26000,Wholesalers,Rosemont,IL,no
Danaher,29453.0,32.2,6433.0,209993.4,"79,000",22284.0,0.086,3646.0,160497.2,69000,Health Care,Washington,DC,no
Jabil,29285.0,7.4,696.0,8857.3,"238,000",27266.4,0.078,53.9,7833.2,240000,Technology,St. Petersburg,FL,no
Starbucks,29060.6,23.6,4199.3,104642.8,"383,000",23518.0,-0.113,928.3,128643.6,349000,"Hotels, Restaurants & Leisure",Seattle,WA,no
Mondelez International,28720.0,8.0,4300.0,87159.2,"79,000",26581.0,0.028,3555.0,82651.1,79000,"Food, Beverages & Tobacco",Chicago,IL,no
Eli Lilly,28318.4,15.4,5581.7,272723.6,"35,238",24539.8,0.099,6193.7,179158.9,35000,Health Care,Indianapolis,IN,no
Hewlett Packard Enterprise,27784.0,3.0,3427.0,21725.3,"60,400",26982.0,-0.074,-322.0,20480.0,59400,Technology,Houston,TX,no
D.R. Horton,27774.2,36.7,4175.8,26403.2,"11,788",20311.1,0.155,2373.7,32413.1,9716,Engineering & Construction,Arlington,TX,no
Molina Healthcare,27771.0,43.0,659.0,19572.9,"14,000",19423.0,0.154,673.0,13647.3,10500,Health Care,Long Beach,CA,no
CBRE Group,27746.0,16.5,1836.6,30414.2,"105,000",23826.2,-0.003,752.0,26549.1,100000,Financials,Dallas,TX,no
Micron Technology,27705.0,29.3,5861.0,86977.2,"43,000",21435.0,-0.084,2687.0,98678.0,40000,Technology,Boise,ID,no
Broadcom,27450.0,14.9,6736.0,257086.5,"20,000",23888.0,0.057,2960.0,189313.5,21000,Technology,San Jose,CA,no
Gilead Sciences,27305.0,10.6,6225.0,74656.5,"14,400",24689.0,0.1,123.0,81372.8,13600,Health Care,Foster City,CA,no
PBF Energy,27253.4,80.3,231.0,2932.6,"3,418",15115.9,-0.383,-1392.4,1699.5,3729,Energy,Parsippany,NJ,no
Lennar,27130.7,20.6,4430.1,23413.0,"10,753",22488.9,0.01,2465.0,30893.2,9495,Engineering & Construction,Miami,FL,no
United Natural Foods,26992.0,0.9,149.0,2409.3,"28,300",26742.8,0.139,-274.1,1854.4,28300,Wholesalers,Providence,RI,no
NRG Energy,26989.0,196.8,2187.0,9289.0,"6,635",9093.0,-0.079,510.0,9232.1,4104,Energy,Houston,TX,no
Nvidia,26914.0,61.4,9752.0,684878.6,"22,473",16675.0,0.527,4332.0,331036.6,18975,Technology,Santa Clara,CA,no
Occidental Petroleum,26772.0,60.5,2322.0,53160.2,"11,678",16680.0,-0.241,-14831.0,24848.7,11800,Energy,Houston,TX,yes
Salesforce,26492.0,24.7,1444.0,210196.8,"73,541",21252.0,0.243,4072.0,195132.3,56606,Technology,San Francisco,CA,no
Dollar Tree,26321.2,3.2,1327.9,36051.4,"136,226",25509.3,0.08,1341.9,26717.4,129772,Retailing,Chesapeake,VA,no
KKR,26141.3,171.5,4666.5,51542.9,"3,238",9629.7,0.056,2002.5,42352.6,1583,Financials,New York,NY,no
Kraft Heinz,26042.0,-0.5,1012.0,48248.6,"36,000",26185.0,0.048,356.0,48924.7,38000,"Food, Beverages & Tobacco",Chicago,IL,no
Amgen,25979.0,2.2,5893.0,134700.8,"24,200",25424.0,0.088,7264.0,143704.3,24300,Health Care,Thousand Oaks,CA,no
AutoNation,25844.0,26.7,1373.0,6111.4,"22,200",20390.0,-0.044,381.6,7683.2,21600,Retailing,Fort Lauderdale,FL,no
Penske Automotive Group,25554.7,25.0,1187.8,7196.7,"24,797",20443.9,-0.118,543.6,6485.5,23600,Retailing,Bloomfield Hills,MI,no
Macy's,25292.0,39.8,1430.0,7123.2,"88,857",18097.0,-0.286,-3944.0,5028.1,75711,Retailing,New York,NY,no
Duke Energy,24677.0,5.2,3908.0,85967.0,"27,605",23453.0,-0.049,1377.0,74252.5,27535,Energy,Charlotte,NC,yes
United Airlines Holdings,24634.0,60.4,-1964.0,15049.7,"84,100",15355.0,-0.645,-7069.0,18325.1,74400,Transportation,Chicago,IL,no
Visa,24105.0,10.3,12311.0,480022.5,"21,500",21846.0,-0.049,10866.0,452525.4,20500,Business Services,San Francisco,CA,no
Rite Aid,24043.4,9.6,-90.9,488.1,"50,000",21928.4,0.012,-452.2,1129.9,39920,Food & Drug Stores,Camp Hill,PA,yes
Cummins,24021.0,21.3,2131.0,29140.9,"59,900",19811.0,-0.16,1789.0,37971.1,57825,Industrials,Columbus,IN,yes
U.S. Bancorp,23714.0,-6.0,7963.0,78929.8,"68,796",25241.0,-0.076,4959.0,83107.4,68108,Financials,Minneapolis,MN,no
Paccar,23522.3,25.6,1852.1,30619.7,"28,500",18728.5,-0.268,1298.4,32255.8,26000,Motor Vehicles & Parts,Bellevue,WA,no
McDonald's,23222.9,20.9,7545.2,183873.6,"200,000",19207.8,-0.089,4730.5,167112.5,200000,"Hotels, Restaurants & Leisure",Chicago,IL,no
Southern,23113.0,13.4,2393.0,76877.0,"27,164",20375.0,-0.049,3119.0,65678.9,27700,Energy,Atlanta,GA,no
C.H. Robinson Worldwide,23102.1,42.5,844.2,13855.8,"16,877",16207.1,0.059,506.4,12514.9,14888,Transportation,Eden Prairie,MN,no
Truist Financial,23064.0,-5.6,6440.0,75353.9,"51,462",24427.0,0.666,4482.0,78408.5,53638,Financials,Charlotte,NC,no
Applied Materials,23063.0,34.1,5888.0,116431.4,"27,000",17202.0,0.178,3619.0,122599.5,24000,Technology,Santa Clara,CA,no
Freeport-McMoRan,22845.0,60.9,4306.0,72360.8,"24,700",14198.0,-0.014,599.0,48027.8,24500,Energy,Phoenix,AZ,no
Lithia Motors,22831.7,74.0,1060.0,8909.8,"21,150",13124.3,0.036,470.3,10467.0,14538,Retailing,Medford,OR,no
Hartford Financial Services Group,22390.0,9.1,2365.0,23815.6,"18,100",20523.0,-0.01,1737.0,23863.3,18500,Financials,Hartford,CT,no
Aflac,22106.0,-0.2,4325.0,41812.8,"12,447",22147.0,-0.007,4778.0,35191.4,12003,Financials,Columbus,GA,no
Whirlpool,21985.0,13.0,1783.0,10101.2,"69,000",19456.0,-0.047,1081.0,13831.7,78000,Industrials,Benton Harbor,MI,no
Union Pacific,21804.0,11.6,6523.0,171681.6,"32,124",19533.0,-0.1,5349.0,146948.3,30960,Transportation,Omaha,NE,no
International Paper,21780.0,5.8,1752.0,17301.1,"38,200",20580.0,-0.08,482.0,21240.6,49300,Materials,Memphis,TN,no
Altria Group,21111.0,1.3,2475.0,94951.7,"6,000",20841.0,0.053,4467.0,95090.6,7100,"Food, Beverages & Tobacco",Richmond,VA,no
CDW,20820.8,12.7,988.6,24140.2,"13,900",18467.5,0.024,788.5,23291.8,10000,Technology,Lincolnshire,IL,yes
ManpowerGroup,20724.4,15.1,382.4,5025.6,"30,000",18001.0,-0.137,23.8,5434.2,25000,Business Services,Milwaukee,WI,no
PG&E,20642.0,11.8,-102.0,29433.7,"26,000",18469.0,0.078,-1318.0,23240.6,24000,Energy,San Francisco,CA,yes
Baker Hughes,20502.0,-1.0,-219.0,37410.2,"54,000",20705.0,-0.131,-9940.0,22494.8,55000,Energy,Houston,TX,no
Cleveland-Cliffs,20444.0,281.8,2988.0,16891.2,"26,000",5354.0,1.691,-122.0,10033.0,25000,Materials,Cleveland,OH,no
United States Steel,20275.0,108.1,4174.0,9832.3,"24,540",9741.0,-0.247,-1165.0,7034.0,23350,Materials,Pittsburgh,PA,no
Becton Dickinson,20248.0,18.3,2092.0,75749.1,"75,000",17117.0,-0.01,874.0,70649.7,72000,Health Care,Franklin Lakes,NJ,no
CarMax,20092.1,-6.2,746.9,15598.9,"26,889",21424.1,0.119,888.4,21562.7,27050,Retailing,Richmond,VA,no
Sherwin-Williams,19944.6,8.6,1864.4,65037.9,"61,626",18361.7,0.026,2030.4,65837.3,61031,Chemicals,Cleveland,OH,no
Builders FirstSource,19893.9,132.4,1725.4,11408.9,"28,000",8558.9,0.176,313.5,9572.2,26000,Materials,Dallas,TX,no
Marsh & McLennan,19820.0,15.1,3143.0,85681.3,"83,000",17224.0,0.034,2016.0,62054.9,76000,Financials,New York,NY,no
PNC Financial Services Group,19698.0,-18.1,5674.0,77203.4,"58,547",24039.0,0.112,7517.0,74377.4,50403,Financials,Pittsburgh,PA,no
Lumen Technologies,19687.0,-4.9,2033.0,11533.4,"36,000",20712.0,-0.075,-1232.0,14642.9,39000,Telecommunications,Monroe,LA,no
Avnet,19534.7,10.8,193.1,4016.9,"14,500",17634.3,-0.097,-31.1,4128.4,14600,Wholesalers,Phoenix,AZ,no
Tenet Healthcare,19485.0,10.5,914.0,9387.6,"88,968",17640.0,-0.045,399.0,5536.5,97900,Health Care,Dallas,TX,no
Kimberly-Clark,19440.0,1.6,1814.0,41496.1,"45,000",19140.0,0.037,2352.0,46999.8,46000,Household Products,Irving,TX,no
Kohl's,19433.0,21.8,938.0,7774.6,"67,000",15955.0,-0.201,-163.0,9394.1,73000,Retailing,Menomonee Falls,WI,yes
BlackRock,19374.0,19.6,5901.0,116186.2,"18,400",16205.0,0.115,4932.0,115079.8,16500,Financials,New York,NY,no
Jones Lang LaSalle,19367.0,16.7,961.6,11945.5,"98,200",16589.9,-0.077,402.5,9150.9,90800,Financials,Chicago,IL,no
Lear,19263.1,13.0,373.9,8513.1,"160,100",17045.5,-0.14,158.5,10895.8,174600,Motor Vehicles & Parts,Southfield,MI,no
Lincoln National,19230.0,10.3,1405.0,11271.6,"10,848",17439.0,0.01,499.0,11953.2,10966,Financials,Radnor,PA,yes
Charles Schwab,18996.0,56.9,5855.0,159675.9,"33,400",12109.0,0.027,3299.0,122691.2,32000,Financials,Westlake,TX,no
Ross Stores,18916.2,50.9,1722.6,31741.7,"100,000",12531.6,-0.219,85.4,42750.7,93700,Retailing,Dublin,CA,yes
Mastercard,18884.0,23.4,8687.0,349330.5,"24,000",15301.0,-0.094,6411.0,353686.7,21000,Business Services,Purchase,NY,no
Genuine Parts,18870.5,8.5,898.8,17888.1,"52,000",17384.4,-0.104,-29.1,16691.8,50000,Wholesalers,Atlanta,GA,no
WestRock,18746.1,6.6,838.3,12379.0,"49,900",17578.8,-0.039,-690.9,13716.1,49300,Materials,Atlanta,GA,no
EOG Resources,18642.0,69.0,4664.0,69796.0,"2,800",11032.0,-0.365,-604.6,42331.9,2900,Energy,Houston,TX,no
Cognizant Technology Solutions,18507.0,11.1,2137.0,47035.0,"330,600",16652.0,-0.008,1392.0,41451.6,289500,Technology,Teaneck,NJ,no
Steel Dynamics,18408.9,91.7,3214.1,15811.5,"10,640",9601.5,-0.083,550.8,10721.5,9625,Materials,Fort Wayne,IN,no
Texas Instruments,18344.0,26.9,7769.0,169329.6,"31,000",14461.0,0.005,5595.0,174439.3,30000,Technology,Dallas,TX,no
Emerson Electric,18236.0,8.6,2303.0,58241.7,"86,700",16785.0,-0.086,1965.0,54134.7,83500,Industrials,St. Louis,MO,no
WESCO International,18217.5,47.8,465.4,6598.5,"18,000",12326.0,0.475,100.6,4340.5,18000,Wholesalers,Pittsburgh,PA,no
General Mills,18127.0,2.8,2339.8,40781.8,"35,000",17626.6,0.045,2181.2,37403.4,35000,"Food, Beverages & Tobacco",Minneapolis,MN,no
Tenneco,18035.0,17.3,35.0,1523.0,"71,000",15379.0,-0.119,-1521.0,875.7,73000,Motor Vehicles & Parts,Lake Forest,IL,no
Waste Management,17931.0,17.8,1816.0,65802.8,"48,500",15218.0,-0.015,1496.0,54451.7,48250,Business Services,Houston,TX,no
DISH Network,17881.1,15.4,2410.6,16743.1,"14,500",15493.4,0.21,1762.7,19048.2,13500,Telecommunications,Englewood,CO,no
L3Harris Technologies,17814.0,-2.1,1846.0,47969.6,"47,000",18194.0,0.415,1119.0,41664.1,48000,Aerospace & Defense,Melbourne,FL,no
DXC Technology,17729.0,-9.4,-149.0,7977.3,"134,000",19577.0,-0.076,-5369.0,7958.6,138000,Technology,Tysons,VA,no
Block,17661.2,86.0,166.3,78655.9,"8,521",9497.6,1.015,213.1,103220.3,5477,Business Services,San Francisco,CA,no
Goodyear Tire & Rubber,17478.0,41.9,764.0,4029.3,"72,000",12321.0,-0.164,-1254.0,4099.1,62000,Motor Vehicles & Parts,Akron,OH,no
Uber Technologies,17455.0,56.7,-496.0,69753.0,"29,300",11139.0,-0.213,-6768.0,101438.0,22800,Technology,San Francisco,CA,no
Colgate-Palmolive,17421.0,5.8,2166.0,63742.2,"33,800",16471.0,0.05,2695.0,66810.3,34200,Household Products,New York,NY,no
Stanley Black & Decker,17252.7,18.7,1689.2,22843.3,"71,300",14534.6,0.006,1233.8,32152.4,58350,Household Products,New Britain,CT,no
DuPont,17160.0,-15.9,6467.0,37739.7,"28,000",20397.0,-0.052,-2951.0,41308.1,34000,Chemicals,Wilmington,DE,no
Stryker,17108.0,19.2,1994.0,100978.1,"46,000",14351.0,-0.036,1599.0,91665.1,43000,Health Care,Kalamazoo,MI,no
NextEra Energy,17069.0,-5.2,3573.0,166264.1,"15,000",17997.0,-0.063,2919.0,148304.9,14900,Energy,Juno Beach,FL,no
Targa Resources,16949.8,105.2,71.2,17243.8,"2,430",8260.3,-0.047,-1553.9,7259.8,2372,Energy,Houston,TX,no
Western Digital,16922.0,1.1,821.0,15536.4,"65,600",16736.0,0.01,-250.0,20432.0,63800,Technology,San Jose,CA,no
PPG Industries,16802.0,21.5,1439.0,30951.9,"49,300",13834.0,-0.087,1059.0,35603.6,46900,Chemicals,Pittsburgh,PA,no
American Electric Power,16792.0,12.6,2488.1,50338.6,"16,688",14918.5,-0.041,2200.1,42067.3,16787,Energy,Columbus,OH,no
Gap,16670.0,20.8,256.0,5206.6,"97,000",13800.0,-0.158,-665.0,11164.9,117000,Retailing,San Francisco,CA,no
Reinsurance Group of America,16658.0,14.1,617.0,7354.6,"3,500",14596.0,0.021,415.0,8568.0,3600,Financials,Chesterfield,MO,yes
Kinder Morgan,16610.0,42.0,1784.0,42878.1,"10,529",11700.0,-0.114,119.0,37703.1,10524,Energy,Houston,TX,no
Oneok,16540.3,93.6,1499.7,31516.0,"2,847",8542.2,-0.16,612.8,22542.9,2886,Energy,Tulsa,OK,no
Expeditors Intl. of Washington,16523.5,72.4,1415.5,17268.8,"19,070",10116.5,0.237,696.1,18166.7,17480,Transportation,Seattle,WA,no
Advanced Micro Devices,16434.0,68.3,3162.0,177936.1,"15,500",9763.0,0.45,2490.0,95346.7,12600,Technology,Santa Clara,CA,yes
Fiserv,16226.0,9.3,1334.0,66132.8,"44,000",14852.0,0.458,958.0,79692.5,44000,Business Services,Brookfield,WI,no
Estée Lauder,16215.0,13.4,2870.0,97672.1,"53,320",14294.0,-0.038,684.0,105508.6,48000,Household Products,New York,NY,no
Bank of New York Mellon,16158.0,-4.6,3759.0,40056.7,"49,100",16940.0,-0.186,3617.0,41471.0,48500,Financials,New York,NY,no
Laboratory Corp. of America,16120.9,15.3,2377.3,24625.8,"71,725",13978.5,0.21,1556.1,24890.9,68780,Health Care,Burlington,NC,no
Regeneron Pharmaceuticals,16071.7,89.1,8075.3,75806.0,"10,368",8497.1,0.081,3513.2,50688.4,9123,Health Care,Tarrytown,NY,no
Cheniere Energy,15864.0,69.5,-2343.0,35272.3,"1,550",9358.0,-0.038,-85.0,18256.6,1519,Energy,Houston,TX,no
Southwest Airlines,15790.0,74.5,977.0,27129.3,"55,093",9048.0,-0.597,-3074.0,36066.8,56537,Transportation,Dallas,TX,no
Adobe,15785.0,22.7,4822.0,215280.5,"25,988",12868.0,0.152,5260.0,227226.9,22516,Technology,San Jose,CA,no
Synchrony Financial,15752.0,-4.4,4221.0,18145.5,"18,000",16472.0,-0.154,1385.0,23740.6,16500,Financials,Stamford,CT,no
Corteva,15655.0,10.1,1759.0,41774.9,"21,000",14217.0,0.027,681.0,34528.5,21000,"Food, Beverages & Tobacco",Indianapolis,IN,no
Fidelity National Financial,15643.0,45.1,2422.0,13849.6,"28,290",10778.0,0.273,1427.0,11838.9,27058,Financials,Jacksonville,FL,no
DTE Energy,15369.0,26.2,907.0,25614.6,"10,300",12177.0,-0.039,1368.0,25792.8,10600,Energy,Detroit,MI,no
Murphy USA,15318.8,61.2,396.9,4888.6,"10,430",9504.3,-0.215,386.1,3900.8,7400,Retailing,El Dorado,AR,no
Halliburton,15295.0,5.9,1457.0,34028.9,"40,000",14445.0,-0.355,-2945.0,19070.1,40000,Energy,Houston,TX,no
Automatic Data Processing,15005.4,2.8,2598.5,95577.1,"56,000",14589.8,0.029,2466.5,80653.9,58000,Business Services,Roseland,NJ,no
Edison International,14905.0,9.8,759.0,26693.8,"13,003",13578.0,0.1,739.0,22229.3,13209,Energy,Rosemead,CA,no
Nordstrom,14789.0,38.0,178.0,4321.3,"72,000",10715.0,-0.31,-690.0,5974.8,62000,Retailing,Seattle,WA,no
Loews,14657.0,16.5,1578.0,15971.3,"10,340",12583.0,-0.157,-931.0,13698.3,12200,Financials,New York,NY,no
Pioneer Natural Resources,14643.0,119.0,2118.0,60728.3,"1,932",6685.0,-0.283,-200.0,34397.3,1853,Energy,Irving,TX,no
AutoZone,14629.6,15.8,2170.3,40582.6,"85,050",12632.0,0.065,1733.0,30946.3,80000,Retailing,Memphis,TN,no
Lam Research,14626.2,45.6,3908.5,74996.7,"14,100",10044.7,0.041,2251.8,85064.7,11300,Technology,Fremont,CA,no
Illinois Tool Works,14455.0,15.0,2694.0,65311.9,"45,000",12574.0,-0.109,2109.0,70106.7,43000,Industrials,Glenview,IL,no
