Company,Revenue_2022,Revenue%change_2022,Profits_in_millions_2022,Market_value_2022,Employees_2022
M&T Bank,6105.8,-2.8,1858.7,21875.0,17342
Sprouts Farmers Market,6099.9,-5.7,244.2,3546.8,31000
Huntington Bancshares,6080.0,16.1,1295.0,21123.4,18442
CACI International,6044.1,5.7,457.4,7051.2,22000
JetBlue Airways,6037.0,104.2,-182.0,4786.9,17459
SVB Financial Group,6027.0,47.7,1833.0,32901.0,6567
Fastenal,6010.9,6.4,925.0,34187.9,18370
GameStop,6010.7,18.1,-381.3,12716.6,22500
Knight-Swift Transportation Holdings,5998.0,28.3,743.4,8386.0,27650
Airbnb,5991.8,77.4,-352.0,110419.9,6132
Patterson,5912.1,7.7,156.0,3160.0,7800
Penn National Gaming,5905.0,65.0,420.8,7140.2,21973
ServiceNow,5896.0,30.5,230.0,111378.0,16881
Nasdaq,5886.0,4.6,1187.0,29298.2,5814
Brunswick,5846.2,34.5,593.3,6197.3,18582
Resideo Technologies,5846.0,15.3,242.0,3455.8,13300
Petco Health and Wellness,5807.1,18.0,164.4,5930.2,28495
Kemper,5793.0,11.3,-120.5,3606.0,10300
Hilton Worldwide Holdings,5788.0,34.4,410.0,42356.6,142000
Cerner,5764.8,4.7,555.6,27492.2,25150
Levi Strauss,5763.9,29.5,553.5,7874.7,16600
Tapestry,5746.3,15.8,834.2,9807.2,14250
NetApp,5744.0,6.1,730.0,18470.5,11000
KB Home,5724.9,36.9,564.7,2858.1,2244
Continental Resources,5719.3,121.1,1661.0,22342.4,1254
Intuitive Surgical,5710.1,31.0,1704.6,108361.9,9793
Under Armour,5683.5,27.0,360.1,7712.4,12300
MDU Resources Group,5680.7,2.7,378.1,5419.3,12826
Silgan Holdings,5677.1,15.3,359.1,5104.3,15720
Ryerson Holding,5675.3,63.7,294.3,1344.6,4000
Ingersoll Rand,5655.2,15.2,562.5,20541.2,16000
Hologic,5632.3,49.1,1871.5,19305.1,6705
Electronic Arts,5629.0,1.7,837.0,35577.4,11000
Zebra Technologies,5627.0,26.5,837.0,21959.1,9800
Coty,5616.2,-16.6,-201.3,7540.6,11430
Schneider National,5608.7,23.2,405.4,4551.6,17050
Sonoco Products,5590.4,6.7,-85.5,6099.1,20500
Evergy,5586.7,13.7,879.7,15512.7,4930
Cornerstone Building Brands,5583.1,20.9,665.9,3088.7,21700
Coca-Cola Consolidated,5562.7,11.1,189.6,4657.3,15050
Greif,5556.1,23.1,390.7,3134.0,16000
Vulcan Materials,5552.2,14.3,670.8,24412.7,11912
Ametek,5546.5,22.2,990.1,30787.3,18500
Monster Beverage,5541.4,20.5,1377.5,42295.8,3775
Sealed Air,5533.8,12.9,506.8,9920.7,16500
NOV,5524.0,-9.3,-250.0,7700.2,27043
Las Vegas Sands,5505.0,52.4,-961.0,29696.4,44600
Martin Marietta Materials,5493.2,16.1,702.5,24015.1,10000
Marathon Oil,5467.0,77.2,946.0,18349.5,1531
Mattel,5457.7,19.1,903.0,7823.3,36300
Microchip Technology,5438.4,3.1,349.4,41777.1,19500
Harley-Davidson,5336.3,31.6,650.0,6062.9,5800
Telephone & Data Systems,5329.0,2.0,156.0,2163.4,8800
ADT,5307.1,-0.1,-340.8,6843.0,25000
First Republic Bank,5305.0,17.7,1478.0,29113.6,6295
Warner Music Group,5301.0,18.8,304.0,19485.7,5900
Pool,5295.6,34.5,650.6,16967.1,5650
Old Dominion Freight Line,5256.3,30.9,1034.4,34307.5,23663
Fortive,5254.7,13.4,608.4,21877.9,18000
MDC Holdings,5254.7,34.7,573.7,2692.7,2080
NGL Energy Partners,5243.2,-73.5,-639.8,288.6,997
Edwards Lifesciences,5232.5,19.3,1503.1,73141.4,15700
Hanover Insurance Group,5227.8,8.3,418.7,5317.9,4400
Syneos Health,5213.0,18.1,234.8,8436.7,27443
Xylem,5195.0,6.5,427.0,15354.7,16700
Church & Dwight,5190.1,6.0,827.5,24119.1,5100
American Axle & Manufacturing,5156.6,9.5,5.9,888.3,18000
Meritage Homes,5141.3,14.2,737.4,2907.3,1773
Workday,5138.8,19.0,29.4,60583.4,15200
Rush Enterprises,5126.1,8.2,241.4,2788.5,7141
Yellow,5121.8,13.5,-109.1,360.3,32000
Encompass Health,5121.6,10.3,412.2,7071.1,35681
Simon Property Group,5116.8,11.1,2249.6,43197.8,2850
Globe Life,5112.9,7.9,745.0,9977.3,3222
Skyworks Solutions,5109.1,52.3,1498.3,21547.5,10945
Twitter,5077.5,36.6,-221.4,30976.8,7500
Leggett & Platt,5072.6,18.5,402.4,4659.0,20300
Western Union,5070.8,4.9,805.8,7374.7,10500
PerkinElmer,5067.2,34.0,943.2,22009.4,16700
SS&C Technologies Holdings,5051.0,8.2,800.0,19235.1,24900
FMC,5045.2,8.7,736.5,16563.8,6400
Carlisle,5030.0,18.5,421.7,12804.5,11250
American Eagle Outfitters,5010.8,33.3,419.6,2836.6,24000
Vertiv Holdings,4998.1,14.4,119.6,5263.9,24000
Broadridge Financial Solutions,4993.7,10.3,547.5,18182.7,13704
Ingles Markets,4987.9,8.2,249.7,1691.4,18460
Insperity,4973.1,16.0,124.1,3849.8,3600
Howmet Aerospace,4972.0,-5.5,258.0,15055.4,19900
Keysight Technologies,4941.0,17.1,894.0,28746.6,14300
Tempur Sealy International,4930.8,34.1,624.5,4997.7,12000
Scotts Miracle-Gro,4925.0,19.2,512.5,6834.6,8050
Equifax,4923.9,19.3,744.2,29141.8,12700
Kelly Services,4909.7,8.7,156.1,856.0,7400
NiSource,4899.6,4.7,584.9,12891.2,7307
DoorDash,4888.0,69.4,-468.0,40830.3,8600
Avient,4818.8,48.6,230.8,4388.4,8700
Sanderson Farms,4799.7,34.7,455.1,4185.4,17662
TransDigm Group,4798.0,-7.4,680.0,36135.8,13300
Stifel Financial,4783.1,25.3,824.9,7226.0,8600
JELD-WEN Holding,4771.7,12.7,168.8,1826.0,24700
Elanco Animal Health,4765.0,45.6,-472.0,12345.4,9800
Prologis,4759.4,7.2,2939.7,119524.5,2053
Welltower,4742.1,3.0,336.1,43001.5,464
Darling Ingredients,4741.4,32.7,650.9,12987.4,9900
Gartner,4734.0,15.5,793.6,24477.2,16600
Par Pacific Holdings,4710.1,50.7,-81.3,783.3,1336
Hubbell,4703.5,12.4,399.5,9959.6,18300
CME Group,4689.7,-4.0,2636.4,85492.3,3480
Nexstar Media Group,4648.4,3.3,834.6,7728.3,11817
Tutor Perini,4641.8,-12.7,91.9,551.8,7800
Antero Resources,4619.4,32.3,-186.9,9608.0,519
Teledyne Technologies,4614.3,49.5,445.3,22102.9,14500
Snap-on,4601.7,16.7,820.5,10976.1,12800
Rent-A-Center,4583.5,62.9,134.9,1486.9,14290
Crestwood Equity Partners,4569.0,102.7,-78.5,2931.5,645
Louisiana-Pacific,4553.0,63.3,1377.0,5344.1,4800
Urban Outfitters,4548.8,31.9,310.6,2421.4,16330
Amerco,4542.0,14.2,610.9,11704.7,22052
TriNet Group,4540.0,12.5,338.0,6482.5,2800
Illumina,4526.0,39.7,762.0,54855.8,10775
Iron Mountain,4491.5,8.3,450.2,16059.5,25000
LCI Industries,4472.7,60.0,287.7,2624.5,13900
PennyMac Financial Services,4450.2,-1.9,1003.5,2948.5,7208
Digital Realty Trust,4427.9,13.4,1709.3,40337.7,3030
TreeHouse Foods,4405.5,-3.6,-12.5,1800.0,10000
Ralph Lauren,4400.8,-28.6,-121.1,8073.2,16200
American National Group,4391.8,15.8,699.3,5084.1,4545
Autodesk,4386.4,15.7,497.0,46580.0,12600
Domino's Pizza,4357.4,5.8,510.5,14665.9,10450
ASGN,4333.8,9.7,409.9,6022.2,3900
Flowers Foods,4330.8,-1.3,206.2,5438.6,8900
BlueLinx Holdings,4277.2,38.1,296.1,699.5,2045
Palo Alto Networks,4256.1,24.9,-498.9,61307.5,10473
Maximus,4254.5,22.9,291.2,4641.1,35800
Dentsply Sirona,4251.0,27.2,421.0,10708.0,15000
Hub Group,4232.4,21.1,171.5,2678.5,4700
Voya Financial,4230.0,-53.7,2126.0,7042.2,5970
Weis Markets,4224.4,2.7,108.8,1921.1,24000
Century Communities,4216.3,33.4,498.5,1783.2,1600
Synopsys,4204.2,14.1,757.5,51023.2,16361
Brink's,4200.2,13.8,105.2,3234.4,73350
Lennox International,4194.1,15.4,464.0,9447.2,11000
Service Corp. International,4143.1,18.0,802.9,10581.3,20840
Conduent,4140.0,-0.6,-28.0,1111.6,60000
Timken,4132.9,17.6,369.1,4539.6,18029
Bloomin' Brands,4122.4,30.0,215.6,1966.6,82000
CNO Financial Group,4122.2,7.9,441.0,2945.7,3350
Snap,4117.0,64.2,-488.0,58458.4,5661
Zoom Video Communications,4099.9,54.6,1375.6,35066.3,6787
Patrick Industries,4078.1,64.0,224.9,1408.2,11000
Paychex,4056.8,0.4,1097.5,49268.0,15000
Atlas Air Worldwide Holdings,4030.8,25.5,493.3,2523.4,4056
Qorvo,4015.3,24.0,733.6,13456.4,8750
Catalent,3998.0,29.2,585.0,19862.7,17300
Mercury General,3993.4,5.5,247.9,3045.4,4300
AMN Healthcare Services,3984.2,66.4,327.4,4796.1,3800
Tri Pointe Homes,3982.2,22.1,469.3,2160.1,1390
ArcBest,3980.1,35.4,213.5,1979.7,14000
Toro,3959.6,17.2,409.9,8936.9,10982
Spirit AeroSystems Holdings,3953.0,16.1,-540.8,5130.6,16100
Align Technology,3952.6,59.9,772.0,34354.8,22540
loanDepot,3943.2,-11.3,113.5,1290.3,11307
American Water Works,3930.0,4.1,1263.0,30085.5,6400
Matson,3925.3,64.7,927.4,4927.5,4259
Diebold Nixdorf,3905.2,0.1,-78.8,531.2,22000
Marriott Vacations Worldwide,3890.0,34.8,49.0,6620.0,20300
Terex,3886.8,26.1,220.9,2485.5,8600
Sally Beauty Holdings,3875.0,10.3,239.9,1720.5,29000
Meritor,3833.0,25.9,199.0,2519.4,9600
Ventas,3828.0,0.9,49.0,24676.2,434
GoDaddy,3815.7,15.0,242.3,14018.7,6611
Regal Rexnord,3810.3,31.1,209.9,10002.1,30000
Clean Harbors,3805.6,21.0,203.2,6073.8,18300
Pinnacle West Capital,3803.8,6.0,618.7,8820.0,5872
Mueller Industries,3769.3,57.2,468.5,3100.4,5337
Wynn Resorts,3763.7,79.6,-755.8,9243.3,26950
RH,3758.8,32.0,688.5,7079.0,6100
EPAM Systems,3758.1,41.3,481.7,16870.7,58824
M/I Homes,3745.9,23.0,396.9,1262.2,1657
Generac Holdings,3737.2,50.4,550.5,18960.3,9248
Mettler-Toledo International,3717.9,20.5,769.0,31220.3,16700
Abercrombie & Fitch,3712.8,18.8,263.0,1619.5,19250
Teradyne,3702.9,18.6,1014.6,19202.6,5900
American Equity Investment Life Holding,3689.5,52.2,474.0,3869.2,850
Southwest Gas Holdings,3680.5,11.6,200.8,5233.6,12720
Pitney Bowes,3673.6,3.4,-1.4,900.1,11500
Lamb Weston Holdings,3670.9,-3.2,317.8,8699.1,7800
Alliant Energy,3669.0,7.4,659.0,15670.6,3313
Resolute Forest Products,3664.0,30.9,307.0,991.7,6900
Parsons,3660.8,-6.6,64.1,4012.0,15500
Trimble,3659.1,16.2,492.7,18122.7,11931
OGE Energy,3653.7,72.2,737.3,8164.2,2185
Winnebago Industries,3629.8,54.1,281.9,1770.9,6532
Ciena,3620.7,2.5,500.2,9223.4,7205
PriceSmart,3619.9,8.7,98.0,2434.1,10400
Advantage Solutions,3602.3,14.2,54.5,2029.6,45000
H&R Block,3588.6,35.9,683.9,4284.6,38000
iHeartMedia,3558.3,20.7,-159.2,2728.1,9990
Super Micro Computer,3557.4,6.5,111.9,1963.0,4155
Flowserve,3541.1,-5.0,125.9,4681.4,16000
Charles River Laboratories International,3540.2,21.1,391.0,14425.4,19300
A.O. Smith,3538.9,22.2,487.1,10032.2,13700
Granite Construction,3501.9,-1.7,10.1,1504.7,2600
Valmont Industries,3501.6,20.9,195.6,5083.4,11041
Sprague Resources,3498.2,49.8,-68.9,433.7,757
Primoris Services,3497.6,0.2,115.6,1269.8,10810
Cboe Global Markets,3494.8,2.0,529.0,12148.2,1196
Carter's,3486.4,15.3,339.7,3763.4,15900
TopBuild,3486.2,28.3,324.0,5987.1,13006
SiteOne Landscape Supply,3475.7,28.5,238.4,7255.5,5475
Texas Roadhouse,3463.9,44.4,245.3,5787.8,73300
Akamai Technologies,3461.2,8.2,651.6,19210.0,8700
Acuity Brands,3461.0,4.0,306.3,6628.9,13000
Brown-Forman,3461.0,2.9,903.0,31376.6,4700
Navient,3454.0,-7.3,717.0,2592.3,5263
Option Care Health,3438.6,13.4,139.9,5139.0,6334
Floor & Decor Holdings,3433.5,41.5,283.2,8573.8,9276
Public Storage,3415.8,17.2,1953.3,68438.2,5800
Cabot,3409.0,30.4,250.0,3871.1,4500
Atmos Energy,3407.5,20.8,665.6,16182.8,4684
Selective Insurance Group,3379.2,15.6,403.8,5391.5,2440
Take-Two Interactive Software,3372.8,9.2,588.9,17744.1,6495
Boyd Gaming,3369.8,54.7,463.8,7234.0,15114
Plexus,3368.9,-0.6,138.9,2298.6,19200
ScanSource,3364.2,-6.8,10.8,890.8,2200
Franchise Group,3362.7,56.2,363.8,1669.6,11895
Mr. Cooper Group,3344.0,22.4,1454.0,3369.4,8200
Fortinet,3342.2,28.8,606.8,54957.1,10195
Brinker International,3337.8,8.4,131.6,1701.9,59491
Albemarle,3328.0,6.4,123.7,25899.4,6000
Peabody Energy,3318.3,15.2,360.1,3391.5,4900
Evercore,3307.1,44.7,740.1,4275.1,1940
Stewart Information Services,3305.8,44.5,323.2,1635.1,7300
Central Garden & Pet,3303.7,22.6,151.7,2286.5,6750
GMS,3298.8,1.8,105.6,2142.1,5843
H.B. Fuller,3278.0,17.5,161.4,3505.2,6500
Middleby,3250.8,29.3,488.5,8961.1,10624
Renewable Energy Group,3244.1,51.8,213.8,3056.2,1196
MSC Industrial Direct,3243.2,1.6,216.9,4758.3,6472
Vishay Intertechnology,3240.5,29.5,298.0,2840.1,22800
Applied Industrial Technologies,3235.9,-0.3,144.8,3947.9,5947
Lincoln Electric Holdings,3234.2,21.8,276.5,8079.1,11000
First Horizon,3234.0,-4.6,999.0,12542.9,7676
AptarGroup,3227.2,10.2,244.1,7702.9,13000
Citrix Systems,3217.2,-0.6,307.5,12704.6,9700
IDEXX Laboratories,3215.4,18.8,744.8,46089.3,10350
Tetra Tech,3213.5,7.3,232.8,8906.7,21000
Lyft,3208.3,35.7,-1009.4,13384.6,4453
Gannett,3208.1,-5.8,-135.0,643.9,16300
ResMed,3196.8,8.1,474.5,35463.3,7970
Designer Brands,3196.6,43.0,154.5,991.4,13500
Graham Holdings,3186.0,10.3,352.1,3000.6,15048
Worthington Industries,3171.4,3.7,723.8,2537.8,9000
Calumet Specialty Products Partners,3148.0,38.8,-260.1,1070.8,1450
TransUnion,3145.0,15.8,1387.1,19882.6,10200
Travel + Leisure,3134.0,45.1,308.0,4966.2,16800
Dycom Industries,3130.5,-2.1,48.6,2821.0,15024
Columbia Sportswear,3126.4,25.0,354.1,5840.4,8325
II-VI,3105.9,30.5,297.6,7708.2,22961
Grocery Outlet Holding,3079.6,-1.8,62.3,3148.0,875
AMC Networks,3077.6,9.3,250.6,1721.7,1883
Hyster-Yale Materials Handling,3075.7,9.4,-173.0,561.2,8100
ChampionX,3075.0,61.8,113.3,4976.7,7000
Comfort Systems USA,3073.6,7.6,143.3,3200.5,13200
EQT,3064.7,0.2,-1155.8,12955.4,693
Brown & Brown,3051.4,16.8,587.1,20395.7,12023
LGI Homes,3050.1,28.8,429.6,2322.4,952
Hyatt Hotels,3028.0,46.6,-222.0,10498.3,44000
Comerica,3024.0,-2.3,1168.0,11854.4,7442
Energizer Holdings,3021.5,5.6,160.9,2191.7,6000
Rackspace Technology,3009.5,11.2,-218.3,2365.6,6600
Verisk Analytics,2998.6,7.7,666.2,34616.2,9367
Spectrum Brands Holdings,2998.1,-24.4,189.6,3617.6,12100
Euronet Worldwide,2995.4,20.7,70.7,6658.2,8800
TEGNA,2991.1,1.8,477.0,4962.6,6200
Cadence Design Systems,2988.2,11.4,696.0,45781.7,9298
Incyte,2986.3,12.0,948.6,17577.6,2094
Match Group,2983.3,24.8,277.7,31007.0,2520
Valvoline,2981.0,26.7,420.0,5660.5,9800
EnerSys,2977.9,-3.6,143.4,3076.0,11400
Avaya Holdings,2973.0,3.5,-13.0,1076.0,8063
UWM Holdings,2970.3,-39.9,98.4,7223.5,8000
Zions Bancorp.,2970.0,1.0,1129.0,9958.2,9685
Quad/Graphics,2960.4,-1.6,37.8,388.5,15100
MKS Instruments,2949.6,26.6,551.4,8327.6,6200
Arista Networks,2948.0,27.2,840.9,42773.4,2993
Interactive Brokers Group,2938.0,18.5,308.0,27961.7,2571
Range Resources,2930.2,48.8,411.8,7964.0,527
Cheesecake Factory,2927.5,47.6,72.4,2098.6,45800
First Solar,2923.4,7.8,468.7,8904.4,4800
Bio-Rad Laboratories,2922.5,14.8,4245.9,16982.2,7900
Newmark Group,2906.4,52.6,750.7,3009.9,6169
PC Connection,2892.6,11.7,69.9,1375.8,2542
Boston Properties,2888.6,4.4,505.2,20179.9,743
Western Midstream Partners,2877.2,3.8,916.3,10177.4,1127
Magellan Midstream Partners,2870.1,18.2,982.0,10422.1,1715
Hillenbrand,2864.8,13.8,249.9,3216.2,10500
Donaldson,2853.9,10.5,286.9,6416.4,13100
Moog,2852.0,-1.1,157.2,2814.6,14000
Hawaiian Electric Industries,2850.4,10.5,246.2,4630.0,3623
Five Below,2848.4,45.2,278.8,8825.0,13150
Fleetcor Technologies,2833.7,18.6,839.5,19398.4,9700
West Pharmaceutical Services,2831.6,31.9,661.8,30508.2,10065
Green Plains,2827.2,47.0,-66.0,1662.5,859
Cracker Barrel Old Country Store,2821.4,11.8,254.5,2757.6,70000
Virtu Financial,2811.5,-13.2,476.9,6622.1,973
Teleflex,2809.6,10.7,485.4,16642.1,14000
Zynga,2800.5,41.8,-104.2,10463.5,2952
Allegheny Technologies,2799.8,-6.1,-38.2,3350.8,6300
Waters,2785.9,17.8,692.8,18783.4,7800
Hovnanian Enterprises,2782.9,18.7,607.8,371.9,1784
Caleres,2777.6,31.2,137.0,727.5,7200
FTI Consulting,2776.2,12.8,235.0,5400.1,6780
Overstock.com,2773.8,8.8,389.4,1897.8,1350
Visteon,2773.0,8.8,41.0,3056.1,10000
G-III Apparel Group,2766.5,34.6,200.6,1296.1,3250
ITT,2765.0,11.6,316.3,6415.4,9900
IDEX,2764.8,17.6,449.4,14591.6,7536
Popular,2764.8,6.2,934.9,6252.3,8351
Brookdale Senior Living,2758.3,-22.1,-99.3,1308.3,28545
Werner Enterprises,2734.4,15.3,259.1,2697.9,13525
Americold Realty Trust,2714.8,36.6,-30.5,7489.8,16275
SkyWest,2713.5,27.6,111.9,1457.6,15205
Primerica,2709.7,22.2,373.4,5326.8,3170
Nu Skin Enterprises,2695.7,4.4,147.3,2385.6,19600
Copart,2692.5,22.1,936.5,29798.8,8600
PROG Holdings,2677.9,7.8,243.6,1586.9,2023
Splunk,2673.7,19.9,-1339.1,23881.6,7000
MRC Global,2666.0,4.1,-14.0,995.2,2600
Stericycle,2646.9,-1.1,-27.8,5415.5,15465
Ensign Group,2627.5,9.4,194.7,4958.3,25900
Steelcase,2596.2,-30.3,26.1,1339.5,11400
Guess,2591.6,38.1,171.4,1305.5,12500
Playtika Holding,2583.0,8.9,308.5,7965.8,4000
ManTech International,2554.0,1.4,137.0,3517.6,9800
BrightView Holdings,2553.6,8.8,46.3,1351.5,20150
NortonLifeLock,2552.0,-33.9,554.0,15441.9,2800
Deckers Outdoor,2545.6,19.4,382.6,7457.8,3400
Griffon,2541.7,5.6,79.2,1127.8,6700
Curtiss-Wright,2505.9,4.8,267.2,5771.0,7800
MYR Group,2498.3,11.2,85.0,1594.5,7600
MillerKnoll,2465.1,-0.9,173.1,2617.7,7600
Equity Residential,2464.0,-4.2,1332.9,33802.5,2400
DexCom,2448.5,27.1,154.7,49824.5,6650
Rollins,2424.3,12.2,350.7,17260.7,16482
Bruker,2417.9,21.7,277.1,9694.7,7765
Joann,2417.6,-12.5,56.7,463.2,13530
Gray Television,2413.0,1.3,90.0,2093.2,8801
Affiliated Managers Group,2412.4,19.0,565.7,5606.8,4050
Summit Materials,2409.7,3.3,152.2,3687.8,5500
SLM,2409.3,2.4,1160.5,5129.7,1450
Belden,2408.1,22.1,63.9,2492.5,7400
Allison Transmission Holdings,2402.0,15.4,442.0,3810.6,3400
Portland General Electric,2396.0,11.7,244.0,4940.0,2839
REV Group,2380.8,4.5,44.4,843.4,6800
Acadia Healthcare,2376.9,-25.9,190.6,5891.3,19200
Alexandria Real Estate Equities,2373.6,2.9,571.2,32188.6,559
Nordson,2362.2,11.4,454.4,13157.1,6813
NewMarket,2356.1,17.2,190.9,3346.7,2104
Stepan,2346.0,25.5,137.8,2215.6,2439
Valhi,2335.4,24.3,127.2,828.8,2847
Cooper-Standard Holdings,2330.2,-1.9,-322.8,149.0,21300
SBA Communications,2308.8,10.8,237.6,37168.7,1596
Murphy Oil,2300.1,16.7,-73.7,6275.3,696
Entegris,2298.9,23.6,409.1,17830.9,6850
AvalonBay Communities,2294.9,-0.3,1004.3,34710.3,2883
E.W. Scripps,2283.5,19.2,122.7,1718.3,5600
TTEC Holdings,2273.1,16.6,141.0,3878.0,65000
GEO Group,2256.6,-4.0,77.4,809.8,15800
Viasat,2256.1,-2.3,3.7,3630.4,5800
Benchmark Electronics,2255.3,9.8,35.8,881.4,10900
Kar Auction Services,2251.6,2.9,66.5,2187.3,8928
Kirby,2246.7,3.5,-247.0,4345.9,5125
Woodward,2245.8,-10.0,208.6,7882.4,7200
Clear Channel Outdoor Holdings,2241.1,20.8,-433.8,1630.9,4600
Spire,2235.5,20.5,271.7,3713.6,3710
Surgery Partners,2225.1,19.6,-70.9,4919.1,9600
LHC Group,2219.6,7.6,115.7,5229.6,23000
Amedisys,2214.1,6.9,209.1,5603.9,21000
Aerojet Rocketdyne Holdings,2188.0,5.6,143.7,3169.4,5000
Sleep Number,2184.9,17.7,153.7,1123.7,5388
HNI,2184.4,11.7,59.8,1568.7,8000
Dropbox,2157.9,12.7,335.8,8873.5,2667
New Jersey Resources,2156.6,10.4,117.9,4405.4,1251
Harsco,2147.0,14.6,-3.2,969.7,12000
Beazer Homes USA,2140.3,0.6,122.0,478.8,1052
Chemed,2139.3,2.9,268.6,7592.5,14137
Ashland Global Holdings,2111.0,-11.2,220.0,5601.9,4100
