company,sector,city,state,ceo_woman
MDC Holdings,Engineering & Construction,Denver,CO,no
NGL Energy Partners,Energy,Tulsa,OK,no
Edwards Lifesciences,Health Care,Irvine,CA,no
Hanover Insurance Group,Financials,Worcester,MA,no
Syneos Health,Health Care,Morrisville,NC,yes
Xylem,Industrials,Washington,DC,no
Church & Dwight,Household Products,Ewing,NJ,no
American Axle & Manufacturing,Motor Vehicles & Parts,Detroit,MI,no
Meritage Homes,Engineering & Construction,Scottsdale,AZ,no
Workday,Technology,Pleasanton,CA,no
Rush Enterprises,Retailing,New Braunfels,TX,no
Yellow,Transportation,Nashville,TN,no
Encompass Health,Health Care,Birmingham,AL,no
Simon Property Group,Financials,Indianapolis,IN,no
Globe Life,Financials,McKinney,TX,no
Skyworks Solutions,Technology,Irvine,CA,no
Endeavor Group Holdings,Media,Beverly Hills,CA,no
Twitter,Technology,San Francisco,CA,no
Leggett & Platt,Household Products,Carthage,MO,no
Western Union,Business Services,Denver,CO,no
PerkinElmer,Health Care,Waltham,MA,no
SS&C Technologies Holdings,Technology,Windsor,CT,no
CUNA Mutual Group,Financials,Madison,WI,no
FMC,Chemicals,Philadelphia,PA,no
Carlisle,Materials,Scottsdale,AZ,no
American Eagle Outfitters,Retailing,Pittsburgh,PA,no
Core & Main,Wholesalers,St. Louis,MO,no
Vertiv Holdings,Industrials,Columbus,OH,no
Broadridge Financial Solutions,Business Services,Lake Success,NY,no
Ingles Markets,Food & Drug Stores,Black Mountain,NC,no
TPG,Financials,Fort Worth,TX,no
Insperity,Business Services,Kingwood,TX,no
Howmet Aerospace,Aerospace & Defense,Pittsburgh,PA,no
R.R. Donnelley & Sons,Media,Chicago,IL,no
Keysight Technologies,Technology,Santa Rosa,CA,no
Tempur Sealy International,Household Products,Lexington,KY,no
Scotts Miracle-Gro,Chemicals,Marysville,OH,no
Equifax,Business Services,Atlanta,GA,no
Kelly Services,Business Services,Troy,MI,no
NiSource,Energy,Merrillville,IN,no
OneMain Holdings,Financials,Evansville,IN,no
DoorDash,Technology,San Francisco,CA,no
Avient,Chemicals,Avon Lake,OH,no
Sanderson Farms,"Food, Beverages & Tobacco",Laurel,MS,no
TransDigm Group,Aerospace & Defense,Cleveland,OH,no
Stifel Financial,Financials,St. Louis,MO,no
JELD-WEN Holding,Materials,Charlotte,NC,no
Ares Management,Financials,Los Angeles,CA,no
Elanco Animal Health,Health Care,Greenfield,IN,no
Prologis,Financials,San Francisco,CA,no
Welltower,Financials,Toledo,OH,no
Darling Ingredients,"Food, Beverages & Tobacco",Irving,TX,no
Juniper Networks,Technology,Sunnyvale,CA,no
Gartner,Technology,Stamford,CT,no
Par Pacific Holdings,Energy,Houston,TX,no
Hubbell,Industrials,Shelton,CT,no
CME Group,Financials,Chicago,IL,no
Nexstar Media Group,Media,Irving,TX,no
Tutor Perini,Engineering & Construction,Sylmar,CA,no
Antero Resources,Energy,Denver,CO,no
Teledyne Technologies,Aerospace & Defense,Thousand Oaks,CA,no
Snap-on,Industrials,Kenosha,WI,no
Rent-A-Center,Retailing,Plano,TX,no
Covetrus,Health Care,Portland,ME,no
Crestwood Equity Partners,Energy,Houston,TX,no
Louisiana-Pacific,Materials,Nashville,TN,no
Urban Outfitters,Retailing,Philadelphia,PA,no
Penn Mutual Life Insurance,Financials,Horsham,PA,no
Amerco,Transportation,Reno,NV,no
TriNet Group,Business Services,Dublin,CA,no
Sentry Insurance Group,Financials,Stevens Point,WI,no
Illumina,Technology,San Diego,CA,no
Iron Mountain,Business Services,Boston,MA,no
LCI Industries,Motor Vehicles & Parts,Elkhart,IN,no
Marvell Technology,Technology,Wilmington,DE,no
PennyMac Financial Services,Financials,Westlake Village,CA,no
Digital Realty Trust,Financials,Austin,TX,no
TreeHouse Foods,"Food, Beverages & Tobacco",Oak Brook,IL,no
Ralph Lauren,Apparel,New York,NY,no
Mattress Firm Group,Retailing,Houston,TX,no
American National Group,Financials,Galveston,TX,no
Autodesk,Technology,San Rafael,CA,no
Domino's Pizza,"Hotels, Restaurants & Leisure",Ann Arbor,MI,no
ASGN,Business Services,Glen Allen,VA,no
Flowers Foods,"Food, Beverages & Tobacco",Thomasville,GA,no
BlueLinx Holdings,Wholesalers,Marietta,GA,no
Palo Alto Networks,Technology,Santa Clara,CA,no
Maximus,Technology,Reston,VA,no
Dentsply Sirona,Health Care,Charlotte,NC,no
Hub Group,Transportation,Oak Brook,IL,no
Bread Financial Holdings,Business Services,Columbus,OH,no
Voya Financial,Financials,New York,NY,no
Weis Markets,Food & Drug Stores,Sunbury,PA,no
Century Communities,Engineering & Construction,Greenwood Village,CO,no
Synopsys,Technology,Mountain View,CA,no
Brink's,Business Services,Richmond,VA,no
Lennox International,Industrials,Richardson,TX,no
Service Corp. International,Business Services,Houston,TX,no
Conduent,Business Services,Florham Park,NJ,no
Timken,Industrials,North Canton,OH,no
Domtar,Materials,Fort Mill,SC,no
Bloomin' Brands,"Hotels, Restaurants & Leisure",Tampa,FL,no
CNO Financial Group,Financials,Carmel,IN,no
Snap,Technology,Santa Monica,CA,no
Zoom Video Communications,Technology,San Jose,CA,no
Patrick Industries,Materials,Elkhart,IN,no
Paychex,Business Services,Rochester,NY,no
Atlas Air Worldwide Holdings,Transportation,Purchase,NY,no
Bright Health Group,Health Care,Minneapolis,MN,no
Peloton Interactive,"Hotels, Restaurants & Leisure",New York,NY,no
Country Financial,Financials,Bloomington,IL,no
Qorvo,Technology,Greensboro,NC,no
Catalent,Health Care,Somerset,NJ,no
Mercury General,Financials,Los Angeles,CA,no
AMN Healthcare Services,Health Care,Dallas,TX,yes
Tri Pointe Homes,Engineering & Construction,Incline Village,NV,no
ArcBest,Transportation,Fort Smith,AR,yes
Toro,Industrials,Bloomington,MN,no
Spirit AeroSystems Holdings,Aerospace & Defense,Wichita,KS,no
Align Technology,Health Care,Tempe,AZ,no
loanDepot,Financials,Foothill Ranch,CA,no
APi Group,Engineering & Construction,New Brighton,MN,no
American Water Works,Energy,Camden,NJ,yes
Matson,Transportation,Honolulu,HI,no
Diebold Nixdorf,Technology,Hudson,OH,no
Marriott Vacations Worldwide,"Hotels, Restaurants & Leisure",Orlando,FL,no
Terex,Industrials,Norwalk,CT,no
Sally Beauty Holdings,Retailing,Denton,TX,yes
Enovis,Industrials,Wilmington,DE,no
IAC,Technology,New York,NY,no
Meritor,Motor Vehicles & Parts,Troy,MI,no
Ventas,Financials,Chicago,IL,yes
GoDaddy,Technology,Tempe,AZ,no
Regal Rexnord,Industrials,Beloit,WI,no
Puget Energy,Energy,Bellevue,WA,yes
Clean Harbors,Business Services,Norwell,MA,no
Pinnacle West Capital,Energy,Phoenix,AZ,no
eXp World Holdings,Financials,Bellingham,WA,no
Mueller Industries,Industrials,Collierville,TN,no
Wynn Resorts,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
RH,Retailing,Corte Madera,CA,no
EPAM Systems,Technology,Newtown,PA,no
M/I Homes,Engineering & Construction,Columbus,OH,no
Generac Holdings,Industrials,Waukesha,WI,no
Mettler-Toledo International,Technology,Columbus,OH,no
Abercrombie & Fitch,Retailing,New Albany,OH,yes
Teradyne,Technology,North Reading,MA,no
American Equity Investment Life Holding,Financials,West Des Moines,IA,no
Southwest Gas Holdings,Energy,Las Vegas,NV,yes
Pitney Bowes,Technology,Stamford,CT,no
Lamb Weston Holdings,"Food, Beverages & Tobacco",Eagle,ID,no
Alliant Energy,Energy,Madison,WI,no
Resolute Forest Products,Materials,Calhoun,TN,no
Parsons,Aerospace & Defense,Centreville,VA,yes
Trimble,Technology,Sunnyvale,CA,no
OGE Energy,Energy,Oklahoma City,OK,no
Garrett Motion,Motor Vehicles & Parts,Plymouth,MI,no
Winnebago Industries,Motor Vehicles & Parts,Eden Prairie,MN,no
Ciena,Technology,Hanover,MD,no
PriceSmart,Retailing,San Diego,CA,yes
Advantage Solutions,Business Services,Irvine,CA,yes
H&R Block,Financials,Kansas City,MO,no
iHeartMedia,Media,San Antonio,TX,no
Super Micro Computer,Technology,San Jose,CA,no
Flowserve,Industrials,Irving,TX,no
Charles River Laboratories International,Health Care,Wilmington,MA,no
A.O. Smith,Industrials,Milwaukee,WI,no
Rithm Capital,Financials,New York,NY,no
Medical Mutual of Ohio,Financials,Cleveland,OH,no
Granite Construction,Engineering & Construction,Watsonville,CA,no
Valmont Industries,Materials,Omaha,NE,no
Sprague Resources,Energy,Portsmouth,NH,no
Primoris Services,Engineering & Construction,Dallas,TX,no
Cboe Global Markets,Financials,Chicago,IL,no
Carter's,Apparel,Atlanta,GA,no
TopBuild,Engineering & Construction,Daytona Beach,FL,no
SiteOne Landscape Supply,Wholesalers,Roswell,GA,no
Texas Roadhouse,"Hotels, Restaurants & Leisure",Louisville,KY,no
Akamai Technologies,Technology,Cambridge,MA,no
Brown-Forman,"Food, Beverages & Tobacco",Louisville,KY,no
Acuity Brands,Industrials,Atlanta,GA,no
Navient,Financials,Wilmington,DE,no
Coterra Energy,Energy,Houston,TX,no
Option Care Health,Health Care,Bannockburn,IL,no
Floor & Decor Holdings,Retailing,Atlanta,GA,no
Public Storage,Financials,Glendale,CA,no
Cabot,Chemicals,Boston,MA,no
Crane Holdings,Industrials,Stamford,CT,no
Atmos Energy,Energy,Dallas,TX,no
Selective Insurance Group,Financials,Branchville,NJ,no
Take-Two Interactive Software,Media,New York,NY,no
Boyd Gaming,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
Plexus,Technology,Neenah,WI,no
ScanSource,Wholesalers,Greenville,SC,no
Franchise Group,Retailing,Delaware,OH,no
NLV Financial,Financials,Montpelier,VT,no
CrossAmerica Partners,Energy,Allentown,PA,no
Mr. Cooper Group,Financials,Coppell,TX,no
Fortinet,Technology,Sunnyvale,CA,no
Brinker International,"Hotels, Restaurants & Leisure",Dallas,TX,no
Albemarle,Chemicals,Charlotte,NC,no
Peabody Energy,Energy,St. Louis,MO,no
Light & Wonder,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
Evercore,Financials,New York,NY,no
Stewart Information Services,Financials,Houston,TX,no
Central Garden & Pet,Household Products,Walnut Creek,CA,no
GMS,Wholesalers,Tucker,GA,no
H.B. Fuller,Chemicals,St. Paul,MN,no
Middleby,Industrials,Elgin,IL,no
Renewable Energy Group,Energy,Ames,IA,yes
MSC Industrial Direct,Wholesalers,Melville,NY,no
Vishay Intertechnology,Technology,Malvern,PA,no
Applied Industrial Technologies,Wholesalers,Cleveland,OH,no
Lincoln Electric Holdings,Industrials,Cleveland,OH,no
First Horizon,Financials,Memphis,TN,no
Spirit Airlines,Transportation,Miramar,FL,no
AptarGroup,Materials,Crystal Lake,IL,no
Citrix Systems,Technology,Fort Lauderdale,FL,no
IDEXX Laboratories,Health Care,Westbrook,ME,no
Tetra Tech,Engineering & Construction,Pasadena,CA,no
Lyft,Technology,San Francisco,CA,no
Gannett,Media,McLean,VA,no
ResMed,Health Care,San Diego,CA,no
Designer Brands,Retailing,Columbus,OH,no
Graham Holdings,Business Services,Arlington,VA,no
Vroom,Retailing,New York,NY,no
Worthington Industries,Materials,Columbus,OH,no
Calumet Specialty Products Partners,Energy,Indianapolis,IN,no
Xilinx,Technology,San Jose,CA,yes
TransUnion,Business Services,Chicago,IL,no
Travel + Leisure,"Hotels, Restaurants & Leisure",Orlando,FL,no
Topgolf Callaway Brands,"Hotels, Restaurants & Leisure",Carlsbad,CA,no
Dycom Industries,Engineering & Construction,Palm Beach Gardens,FL,no
Columbia Sportswear,Apparel,Portland,OR,no
Coherent,Technology,Saxonburg,PA,no
Change Healthcare,Health Care,Nashville,TN,yes
Grocery Outlet Holding,Food & Drug Stores,Emeryville,CA,no
AMC Networks,Media,New York,NY,yes
Hyster-Yale Materials Handling,Industrials,Cleveland,OH,no
ChampionX,Energy,The Woodlands,TX,no
Comfort Systems USA,Engineering & Construction,Houston,TX,no
EQT,Energy,Pittsburgh,PA,no
Brown & Brown,Financials,Daytona Beach,FL,no
LGI Homes,Engineering & Construction,The Woodlands,TX,no
Hyatt Hotels,"Hotels, Restaurants & Leisure",Chicago,IL,no
Comerica,Financials,Dallas,TX,no
Energizer Holdings,Household Products,St. Louis,MO,no
Hill-Rom Holdings,Health Care,Chicago,IL,no
Rackspace Technology,Technology,San Antonio,TX,no
Verisk Analytics,Business Services,Jersey City,NJ,no
Spectrum Brands Holdings,Household Products,Middleton,WI,no
Euronet Worldwide,Business Services,Leawood,KS,no
TEGNA,Media,Tysons,VA,no
Vontier,Technology,Raleigh,NC,no
Cadence Design Systems,Technology,San Jose,CA,no
Incyte,Health Care,Wilmington,DE,no
Match Group,Technology,Dallas,TX,no
Valvoline,Chemicals,Lexington,KY,no
EnerSys,Industrials,Reading,PA,no
Avaya Holdings,Technology,Durham,NC,no
UWM Holdings,Financials,Pontiac,MI,no
Zions Bancorp.,Financials,Salt Lake City,UT,no
Quad/Graphics,Media,Sussex,WI,no
MKS Instruments,Technology,Andover,MA,no
Arista Networks,Technology,Santa Clara,CA,yes
Interactive Brokers Group,Financials,Greenwich,CT,no
Range Resources,Energy,Fort Worth,TX,no
Atkore,Industrials,Harvey,IL,no
Cheesecake Factory,"Hotels, Restaurants & Leisure",Calabasas Hills,CA,no
First Solar,Energy,Tempe,AZ,no
Bio-Rad Laboratories,Technology,Hercules,CA,no
Cooper Cos.,Health Care,San Ramon,CA,no
Envista Holdings,Health Care,Brea,CA,no
Alight,Business Services,Lincolnshire,IL,no
Newmark Group,Financials,New York,NY,no
PC Connection,Wholesalers,Merrimack,NH,no
Host Hotels & Resorts,Financials,Bethesda,MD,no
Boston Properties,Financials,Boston,MA,no
Western Midstream Partners,Energy,The Woodlands,TX,no
Magellan Midstream Partners,Energy,Tulsa,OK,no
Hillenbrand,Industrials,Batesville,IN,yes
Donaldson,Industrials,Minneapolis,MN,no
Moog,Aerospace & Defense,East Aurora,NY,no
Hawaiian Electric Industries,Energy,Honolulu,HI,no
Five Below,Retailing,Philadelphia,PA,no
Twilio,Technology,San Francisco,CA,no
Univision Communciations,Media,New York,NY,no
Annaly Capital Management,Financials,New York,NY,no
Fleetcor Technologies,Business Services,Atlanta,GA,no
West Pharmaceutical Services,Health Care,Exton,PA,no
Green Plains,Energy,Omaha,NE,no
Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",Lebanon,TN,yes
Virtu Financial,Financials,New York,NY,no
Teleflex,Health Care,Wayne,PA,no
Zynga,Media,San Francisco,CA,no
ATI,Materials,Pittsburgh,PA,no
AppLovin,Technology,Palo Alto,CA,no
Waters,Technology,Milford,MA,no
Mutual of America Life Insurance,Financials,New York,NY,no
Hovnanian Enterprises,Engineering & Construction,Matawan,NJ,no
Amica Mutual Insurance,Financials,Lincoln,RI,no
Caleres,Retailing,St. Louis,MO,yes
FTI Consulting,Business Services,Washington,DC,no
Overstock.com,Retailing,Midvale,UT,no
Visteon,Motor Vehicles & Parts,Van Buren Township,MI,no
G-III Apparel Group,Apparel,New York,NY,no
ITT,Industrials,White Plains,NY,no
IDEX,Industrials,Northbrook,IL,no
Popular,Financials,Hato Rey,PR,no
Roku,Media,San Jose,CA,no
Schnitzer Steel Industries,Materials,Portland,OR,yes
Brookdale Senior Living,Health Care,Brentwood,TN,yes
Werner Enterprises,Transportation,Omaha,NE,no
Americold Realty Trust,Financials,Atlanta,GA,no
SkyWest,Transportation,St. George,UT,no
Primerica,Financials,Duluth,GA,no
McAfee,Technology,San Jose,CA,no
Nu Skin Enterprises,Household Products,Provo,UT,no
Copart,Retailing,Dallas,TX,no
PROG Holdings,Financials,Draper,UT,no
Splunk,Technology,San Francisco,CA,no
MRC Global,Energy,Houston,TX,no
Stericycle,Business Services,Bannockburn,IL,yes
Maxim Integrated Products,Technology,San Jose,CA,no
Ensign Group,Health Care,San Juan Capistrano,CA,no
SM Energy,Energy,Denver,CO,no
Kaiser Aluminum,Materials,Foothill Ranch,CA,no
Federated Mutual Insurance,Financials,Owatonna,MN,no
F5,Technology,Seattle,WA,no
Steelcase,Household Products,Grand Rapids,MI,yes
Encore Wire,Industrials,McKinney,TX,no
Guess,Retailing,Los Angeles,CA,no
Playtika Holding,Media,Henderson,NV,no
Pinterest,Technology,San Francisco,CA,no
WeWork,Financials,New York,NY,no
ManTech International,Technology,Herndon,VA,no
BrightView Holdings,Business Services,Blue Bell,PA,no
NortonLifeLock,Technology,Tempe,AZ,no
Deckers Outdoor,Apparel,Goleta,CA,no
Griffon,Materials,New York,NY,no
AMC Entertainment Holdings,Media,Leawood,KS,no
Curtiss-Wright,Industrials,Davidson,NC,yes
MYR Group,Engineering & Construction,Henderson,CO,no
Kontoor Brands,Apparel,Greensboro,NC,no
Liberty Energy,Energy,Denver,CO,no
Knights of Columbus,Financials,New Haven,CT,no
AdaptHealth,Health Care,Plymouth Meeting,PA,no
MillerKnoll,Household Products,Zeeland,MI,yes
Equity Residential,Financials,Chicago,IL,no
DexCom,Health Care,San Diego,CA,no
Rollins,Business Services,Atlanta,GA,no
Genesco,Retailing,Nashville,TN,yes
Bruker,Technology,Billerica,MA,no
Joann,Retailing,Hudson,OH,no
Wolverine World Wide,Apparel,Rockford,MI,no
Gray Television,Media,Atlanta,GA,no
Affiliated Managers Group,Financials,West Palm Beach,FL,no
Summit Materials,Materials,Denver,CO,yes
SLM,Financials,Newark,DE,no
Belden,Industrials,St. Louis,MO,no
Allison Transmission Holdings,Motor Vehicles & Parts,Indianapolis,IN,no
Element Solutions,Chemicals,Fort Lauderdale,FL,no
Portland General Electric,Energy,Portland,OR,yes
REV Group,Motor Vehicles & Parts,Brookfield,WI,no
Acadia Healthcare,Health Care,Franklin,TN,no
Alexandria Real Estate Equities,Financials,Pasadena,CA,no
Nordson,Industrials,Westlake,OH,no
NewMarket,Chemicals,Richmond,VA,no
Ohio National Mutual,Financials,Cincinnati,OH,yes
Stepan,Chemicals,Northbrook,IL,no
Valhi,Chemicals,Dallas,TX,no
Hilton Grand Vacations,"Hotels, Restaurants & Leisure",Orlando,FL,no
Cooper-Standard Holdings,Motor Vehicles & Parts,Northville,MI,no
Etsy,Technology,Brooklyn,NY,no
Crocs,Apparel,Broomfield,CO,no
Olympic Steel,Materials,Highland Hills,OH,no
Signature Bank,Financials,New York,NY,no
SBA Communications,Financials,Boca Raton,FL,no
Murphy Oil,Energy,Houston,TX,no
Entegris,Technology,Billerica,MA,no
AvalonBay Communities,Financials,Arlington,VA,no
Saia,Transportation,Johns Creek,GA,no
E.W. Scripps,Media,Cincinnati,OH,no
TTEC Holdings,Technology,Englewood,CO,no
Sun Communities,Financials,Southfield,MI,no
Alpha Metallurgical Resources,Energy,Bristol,TN,no
GEO Group,Business Services,Boca Raton,FL,no
Viasat,Technology,Carlsbad,CA,no
Benchmark Electronics,Technology,Tempe,AZ,no
Kar Auction Services,Wholesalers,Carmel,IN,no
TTM Technologies,Technology,Santa Ana,CA,no
Kirby,Transportation,Houston,TX,no
Woodward,Aerospace & Defense,Fort Collins,CO,no
Clear Channel Outdoor Holdings,Business Services,San Antonio,TX,no
Spire,Energy,St. Louis,MO,yes
Vista Outdoor,Business Services,Anoka,MN,no
Surgery Partners,Health Care,Brentwood,TN,no
LHC Group,Health Care,Lafayette,LA,no
Amedisys,Health Care,Baton Rouge,LA,no
Century Aluminum,Materials,Chicago,IL,no
Arch Resources,Energy,St. Louis,MO,no
Aerojet Rocketdyne Holdings,Aerospace & Defense,El Segundo,CA,yes
Sleep Number,Retailing,Minneapolis,MN,yes
HNI,Household Products,Muscatine,IA,no
Pure Storage,Technology,Mountain View,CA,no
TrueBlue,Business Services,Tacoma,WA,no
Party City Holdco,Retailing,Elmsford,NY,no
Dun & Bradstreet Holdings,Business Services,Jacksonville,FL,no
Dropbox,Technology,San Francisco,CA,no
New Jersey Resources,Energy,Wall,NJ,no
Acushnet Holdings,"Hotels, Restaurants & Leisure",Fairhaven,MA,no
Harsco,Business Services,Camp Hill,PA,no
Beazer Homes USA,Engineering & Construction,Atlanta,GA,no
Chemed,Health Care,Cincinnati,OH,no
Genesis Energy,Energy,Houston,TX,no
BWX Technologies,Aerospace & Defense,Lynchburg,VA,no
Vizio Holding,Industrials,Irvine,CA,no
1-800-Flowers.com,Retailing,Jericho,NY,no
Cowen,Financials,New York,NY,no
Ashland,Chemicals,Wilmington,DE,no
DocuSign,Technology,San Francisco,CA,no
