company,sector,city,state,ceo_woman
Dollar Tree,Retailing,Chesapeake,VA,no
KKR,Financials,New York,NY,no
Kraft Heinz,"Food, Beverages & Tobacco",Chicago,IL,no
Amgen,Health Care,Thousand Oaks,CA,no
AutoNation,Retailing,Fort Lauderdale,FL,no
Penske Automotive Group,Retailing,Bloomfield Hills,MI,no
PayPal,Business Services,San Jose,CA,no
Macy's,Retailing,New York,NY,no
Duke Energy,Energy,Charlotte,NC,yes
United Airlines Holdings,Transportation,Chicago,IL,no
Visa,Business Services,San Francisco,CA,no
Rite Aid,Food & Drug Stores,Camp Hill,PA,yes
Cummins,Industrials,Columbus,IN,yes
U.S. Bancorp,Financials,Minneapolis,MN,no
Paccar,Motor Vehicles & Parts,Bellevue,WA,no
McDonald's,"Hotels, Restaurants & Leisure",Chicago,IL,no
Southern,Energy,Atlanta,GA,no
C.H. Robinson Worldwide,Transportation,Eden Prairie,MN,no
Truist Financial,Financials,Charlotte,NC,no
Applied Materials,Technology,Santa Clara,CA,no
Freeport-McMoRan,Energy,Phoenix,AZ,no
Lithia Motors,Retailing,Medford,OR,no
Blackstone,Financials,New York,NY,no
Hartford Financial Services Group,Financials,Hartford,CT,no
Aflac,Financials,Columbus,GA,no
Whirlpool,Industrials,Benton Harbor,MI,no
Union Pacific,Transportation,Omaha,NE,no
International Paper,Materials,Memphis,TN,no
Altria Group,"Food, Beverages & Tobacco",Richmond,VA,no
CDW,Technology,Lincolnshire,IL,yes
ManpowerGroup,Business Services,Milwaukee,WI,no
PG&E,Energy,San Francisco,CA,yes
Carrier Global,Industrials,Palm Beach Gardens,FL,no
Baker Hughes,Energy,Houston,TX,no
Cleveland-Cliffs,Materials,Cleveland,OH,no
United States Steel,Materials,Pittsburgh,PA,no
Becton Dickinson,Health Care,Franklin Lakes,NJ,no
CarMax,Retailing,Richmond,VA,no
Sherwin-Williams,Chemicals,Cleveland,OH,no
Builders FirstSource,Materials,Dallas,TX,no
Marsh & McLennan,Financials,New York,NY,no
PNC Financial Services Group,Financials,Pittsburgh,PA,no
Lumen Technologies,Telecommunications,Monroe,LA,no
Avnet,Wholesalers,Phoenix,AZ,no
Tenet Healthcare,Health Care,Dallas,TX,no
Kimberly-Clark,Household Products,Irving,TX,no
Kohl's,Retailing,Menomonee Falls,WI,yes
BlackRock,Financials,New York,NY,no
Jones Lang LaSalle,Financials,Chicago,IL,no
Lear,Motor Vehicles & Parts,Southfield,MI,no
Lincoln National,Financials,Radnor,PA,yes
Charles Schwab,Financials,Westlake,TX,no
Ross Stores,Retailing,Dublin,CA,yes
Mastercard,Business Services,Purchase,NY,no
Genuine Parts,Wholesalers,Atlanta,GA,no
WestRock,Materials,Atlanta,GA,no
EOG Resources,Energy,Houston,TX,no
Cognizant Technology Solutions,Technology,Teaneck,NJ,no
Moderna,Health Care,Cambridge,MA,no
Steel Dynamics,Materials,Fort Wayne,IN,no
HF Sinclair,Energy,Dallas,TX,no
Texas Instruments,Technology,Dallas,TX,no
Emerson Electric,Industrials,St. Louis,MO,no
WESCO International,Wholesalers,Pittsburgh,PA,no
General Mills,"Food, Beverages & Tobacco",Minneapolis,MN,no
Tenneco,Motor Vehicles & Parts,Lake Forest,IL,no
Waste Management,Business Services,Houston,TX,no
Viatris,Health Care,Canonsburg,PA,no
DISH Network,Telecommunications,Englewood,CO,no
L3Harris Technologies,Aerospace & Defense,Melbourne,FL,no
DXC Technology,Technology,Tysons,VA,no
Block,Business Services,San Francisco,CA,no
Goodyear Tire & Rubber,Motor Vehicles & Parts,Akron,OH,no
Uber Technologies,Technology,San Francisco,CA,no
Colgate-Palmolive,Household Products,New York,NY,no
Stanley Black & Decker,Household Products,New Britain,CT,no
DuPont,Chemicals,Wilmington,DE,no
Stryker,Health Care,Kalamazoo,MI,no
NextEra Energy,Energy,Juno Beach,FL,no
Targa Resources,Energy,Houston,TX,no
Western Digital,Technology,San Jose,CA,no
PPG Industries,Chemicals,Pittsburgh,PA,no
American Electric Power,Energy,Columbus,OH,no
Gap,Retailing,San Francisco,CA,no
BJ&#8217;s Wholesale Club,Retailing,Westborough,MA,no
Reinsurance Group of America,Financials,Chesterfield,MO,yes
Kinder Morgan,Energy,Houston,TX,no
Oneok,Energy,Tulsa,OK,no
Expeditors Intl. of Washington,Transportation,Seattle,WA,no
Advanced Micro Devices,Technology,Santa Clara,CA,yes
Fiserv,Business Services,Brookfield,WI,no
Estée Lauder,Household Products,New York,NY,no
Bank of New York Mellon,Financials,New York,NY,no
Laboratory Corp. of America,Health Care,Burlington,NC,no
Regeneron Pharmaceuticals,Health Care,Tarrytown,NY,no
Land O'Lakes,"Food, Beverages & Tobacco",Arden Hills,MN,yes
Cheniere Energy,Energy,Houston,TX,no
Southwest Airlines,Transportation,Dallas,TX,no
Adobe,Technology,San Jose,CA,no
Synchrony Financial,Financials,Stamford,CT,no
Corteva,"Food, Beverages & Tobacco",Indianapolis,IN,no
Fidelity National Financial,Financials,Jacksonville,FL,no
DTE Energy,Energy,Detroit,MI,no
Murphy USA,Retailing,El Dorado,AR,no
Halliburton,Energy,Houston,TX,no
Automatic Data Processing,Business Services,Roseland,NJ,no
Edison International,Energy,Rosemead,CA,no
BorgWarner,Motor Vehicles & Parts,Auburn Hills,MI,no
Nordstrom,Retailing,Seattle,WA,no
Loews,Financials,New York,NY,no
Guardian Life Ins. Co. of America,Financials,New York,NY,no
Pioneer Natural Resources,Energy,Irving,TX,no
AutoZone,Retailing,Memphis,TN,no
Lam Research,Technology,Fremont,CA,no
American Family Insurance Group,Financials,Madison,WI,no
Illinois Tool Works,Industrials,Glenview,IL,no
Parker-Hannifin,Industrials,Cleveland,OH,no
Otis Worldwide,Industrials,Farmington,CT,yes
Omnicom Group,Business Services,New York,NY,no
Principal Financial,Financials,Des Moines,IA,no
Dominion Energy,Energy,Richmond,VA,no
Kellogg,"Food, Beverages & Tobacco",Battle Creek,MI,no
Fluor,Engineering & Construction,Irving,TX,no
AECOM,Engineering & Construction,Dallas,TX,no
Reliance Steel & Aluminum,Materials,Los Angeles,CA,no
Jacobs Engineering Group,Engineering & Construction,Dallas,TX,no
Corning,Industrials,Corning,NY,no
Farmers Insurance Exchange,Financials,Woodland Hills,CA,no
Qurate Retail,Retailing,Englewood,CO,no
Pacific Life,Financials,Newport Beach,CA,no
PulteGroup,Engineering & Construction,Atlanta,GA,no
Fidelity National Information Services,Business Services,Jacksonville,FL,no
IQVIA Holdings,Health Care,Durham,NC,no
Marriott International,"Hotels, Restaurants & Leisure",Bethesda,MD,no
Berry Global Group,Materials,Evansville,IN,no
Ball,Materials,Westminster,CO,no
Group 1 Automotive,Retailing,Houston,TX,no
Leidos Holdings,Technology,Reston,VA,no
Wayfair,Retailing,Boston,MA,no
Consolidated Edison,Energy,New York,NY,no
Ameriprise Financial,Financials,Minneapolis,MN,no
Xcel Energy,Energy,Minneapolis,MN,no
O'Reilly Automotive,Retailing,Springfield,MO,no
Global Partners,Wholesalers,Waltham,MA,no
Discover Financial Services,Financials,Riverwoods,IL,no
Rocket Companies,Financials,Detroit,MI,no
LKQ,Wholesalers,Chicago,IL,no
W.W. Grainger,Wholesalers,Lake Forest,IL,no
Quanta Services,Engineering & Construction,Houston,TX,no
Crown Holdings,Materials,Yardley,PA,no
Fox,Media,New York,NY,no
Sempra,Energy,San Diego,CA,no
Markel,Financials,Glen Allen,VA,no
Carvana,Retailing,Tempe,AZ,no
XPO Logistics,Transportation,Greenwich,CT,no
Baxter International,Health Care,Deerfield,IL,no
Ecolab,Chemicals,St. Paul,MN,no
Tractor Supply,Retailing,Brentwood,TN,no
Andersons,"Food, Beverages & Tobacco",Maumee,OH,no
Keurig Dr Pepper,"Food, Beverages & Tobacco",Burlington,MA,no
Universal Health Services,Health Care,King of Prussia,PA,no
CSX,Transportation,Jacksonville,FL,no
Henry Schein,Health Care,Melville,NY,no
Sonic Automotive,Retailing,Charlotte,NC,no
eBay,Technology,San Jose,CA,no
Textron,Aerospace & Defense,Providence,RI,no
Jones Financial (Edward Jones),Financials,Des Peres,MO,yes
Community Health Systems,Health Care,Franklin,TN,no
Mosaic,Chemicals,Tampa,FL,no
Thor Industries,Motor Vehicles & Parts,Elkhart,IN,no
Dick's Sporting Goods,Retailing,Coraopolis,PA,yes
Newmont,Energy,Denver,CO,no
Devon Energy,Energy,Oklahoma City,OK,no
Warner Bros. Discovery,Media,New York,NY,no
J.B. Hunt Transport Services,Transportation,Lowell,AR,no
Alcoa,Materials,Pittsburgh,PA,no
Peter Kiewit Sons',Engineering & Construction,Omaha,NE,no
Aramark,Business Services,Philadelphia,PA,no
Vistra,Energy,Irving,TX,no
State Street,Financials,Boston,MA,no
Unum Group,Financials,Chattanooga,TN,no
Alleghany,Financials,New York,NY,no
Boston Scientific,Health Care,Marlborough,MA,no
Westlake,Chemicals,Houston,TX,no
Entergy,Energy,New Orleans,LA,no
International Flavors & Fragrances,Chemicals,New York,NY,no
DaVita,Health Care,Denver,CO,no
Mutual of Omaha Insurance,Financials,Omaha,NE,no
Assurant,Financials,New York,NY,no
Liberty Media,Media,Englewood,CO,no
Hormel Foods,"Food, Beverages & Tobacco",Austin,MN,no
Icahn Enterprises,Financials,Sunny Isles Beach,FL,no
Republic Services,Business Services,Phoenix,AZ,no
Mohawk Industries,Household Products,Calhoun,GA,no
Conagra Brands,"Food, Beverages & Tobacco",Chicago,IL,no
Norfolk Southern,Transportation,Atlanta,GA,no
AES,Energy,Arlington,VA,no
AGCO,Industrials,Duluth,GA,no
Caesars Entertainment,"Hotels, Restaurants & Leisure",Reno,NV,no
Equitable Holdings,Financials,New York,NY,no
Advance Auto Parts,Retailing,Raleigh,NC,no
Biogen,Health Care,Cambridge,MA,no
Auto-Owners Insurance,Financials,Lansing,MI,no
Booking Holdings,Technology,Norwalk,CT,no
Amphenol,Technology,Wallingford,CT,no
Quest Diagnostics,Health Care,Secaucus,NJ,no
FirstEnergy,Energy,Akron,OH,no
DCP Midstream,Energy,Denver,CO,no
Ally Financial,Financials,Detroit,MI,no
Delek US Holdings,Energy,Brentwood,TN,no
Williams,Energy,Tulsa,OK,no
Newell Brands,Household Products,Atlanta,GA,no
Eastman Chemical,Chemicals,Kingsport,TN,no
Air Products & Chemicals,Chemicals,Allentown,PA,no
Thrivent Financial for Lutherans,Financials,Minneapolis,MN,yes
Molson Coors Beverage,"Food, Beverages & Tobacco",Chicago,IL,no
Interpublic Group,Business Services,New York,NY,no
Weyerhaeuser,Materials,Seattle,WA,no
Altice USA,Telecommunications,Long Island City,NY,no
Raymond James Financial,Financials,St. Petersburg,FL,no
EMCOR Group,Engineering & Construction,Norwalk,CT,no
Eversource Energy,Energy,Springfield,MA,no
Yum China Holdings,"Hotels, Restaurants & Leisure",Plano,TX,yes
Asbury Automotive Group,Retailing,Duluth,GA,no
Owens & Minor,Health Care,Mechanicsville,VA,no
Public Service Enterprise Group,Energy,Newark,NJ,no
United Rentals,Business Services,Stamford,CT,no
MGM Resorts International,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
Ryder System,Transportation,Miami,FL,no
Intuit,Technology,Mountain View,CA,no
Cincinnati Financial,Financials,Fairfield,OH,no
Erie Insurance Group,Financials,Erie,PA,no
Univar Solutions,Wholesalers,Downers Grove,IL,no
Huntington Ingalls Industries,Aerospace & Defense,Newport News,VA,no
W.R. Berkley,Financials,Greenwich,CT,no
