Name,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021
Moody's,5371.0,0.112,1778.0,55884.8,11490
Select Medical Holdings,5531.7,0.014,259.0,4598.0,42350
Alaska Air Group,3566.0,-0.594,-1324.0,8608.9,20677
Big Lots,6199.2,0.165,629.2,2394.3,23900
Amkor Technology,5050.6,0.246,338.1,5769.6,29050
Sinclair Broadcast Group,5943.0,0.402,-2414.0,2167.0,11600
RPM International,5507.0,-0.01,304.4,11949.9,14621
M&T Bank,6281.2,-0.095,1353.2,19502.2,17046
Sprouts Farmers Market,6468.8,0.148,287.5,3139.9,33000
Huntington Bancshares,5238.0,-0.074,817.0,16071.9,15578
CACI International,5720.0,0.147,321.5,6223.5,22900
JetBlue Airways,2957.0,-0.635,-1354.0,6440.4,18485
SVB Financial Group,4081.8,0.156,1208.4,26602.6,4461
Fastenal,5647.3,0.059,859.1,28877.9,20365
GameStop,5089.8,-0.213,-215.3,13275.2,22000
Knight-Swift Transportation Holdings,4673.9,-0.035,410.0,7966.1,22800
Airbnb,3378.2,-0.297,-4584.7,114349.2,5597
Patterson,5490.0,-0.015,-588.4,3087.5,7800
Penn National Gaming,3578.7,-0.325,-669.5,16406.0,18321
ServiceNow,4519.5,0.306,118.5,98071.6,13096
Nasdaq,5627.0,0.32,933.0,24300.8,4830
Brunswick,4347.5,-0.046,372.7,7436.2,14382
Resideo Technologies,5071.0,0.017,37.0,4043.7,14700
Petco Health and Wellness,4920.2,0.11,-26.5,6692.4,27081
Kemper,5205.7,0.033,409.9,5229.2,9500
Hilton Worldwide Holdings,4307.0,-0.544,-715.0,33568.3,141000
Cerner,5505.8,-0.033,780.1,22016.4,26400
Levi Strauss,4452.6,-0.227,-127.1,9559.8,14800
Tapestry,4961.4,-0.177,-652.1,11449.7,14850
NetApp,5412.0,-0.119,819.0,16176.4,10800
KB Home,4183.2,-0.081,296.2,4268.0,1776
Continental Resources,2586.5,-0.442,-596.9,9447.6,1201
Intuitive Surgical,4358.4,-0.027,1060.6,87474.3,8081
Under Armour,4474.7,-0.15,-549.2,9161.9,11800
MDU Resources Group,5532.8,0.037,390.2,6359.8,12994
Silgan Holdings,4921.9,0.096,308.7,4625.7,15610
Ryerson Holding,3466.6,-0.23,-65.8,649.5,3900
Ingersoll Rand,4910.2,1.003,-33.3,20607.4,15900
Hologic,3776.4,0.121,1115.2,19164.9,5814
Electronic Arts,5537.0,0.119,3039.0,38935.9,9800
Zebra Technologies,4448.0,-0.008,504.0,25941.3,8800
Coty,6737.9,-0.221,-1006.7,6908.8,18260
Schneider National,4552.8,-0.041,211.7,4461.0,15225
Sonoco Products,5237.4,-0.025,207.5,6367.8,20000
Evergy,4913.4,-0.046,618.3,13512.9,5133
Cornerstone Building Brands,4617.4,-0.056,-482.8,1757.4,20230
Coca-Cola Consolidated,5007.4,0.037,172.5,2706.9,14900
Greif,4515.0,-0.017,108.8,2771.7,16000
Vulcan Materials,4856.8,-0.015,584.5,22387.0,8847
Ametek,4540.0,-0.12,872.4,29480.1,16500
Monster Beverage,4598.6,0.095,1409.6,48108.0,3340
Sealed Air,4903.2,0.023,502.9,7098.4,16500
NOV,6090.0,-0.282,-2542.0,5326.3,27631
Las Vegas Sands,3612.0,-0.737,-1685.0,46412.4,46000
Martin Marietta Materials,4729.9,-0.002,721.0,20917.1,8700
Marathon Oil,3086.0,-0.405,-1451.0,8427.3,1672
Mattel,4583.7,0.018,126.6,6935.5,32100
Microchip Technology,5274.2,-0.014,570.6,41794.8,18000
Harley-Davidson,4054.4,-0.244,1.3,6147.9,5150
Telephone & Data Systems,5225.0,0.009,226.0,2625.8,9200
ADT,5314.8,0.037,-632.2,6893.6,20500
First Republic Bank,4506.9,0.084,1064.2,29390.0,5483
Warner Music Group,4463.0,-0.003,-475.0,17657.7,5500
Pool,3936.6,0.23,366.7,13863.5,4750
Old Dominion Freight Line,4015.1,-0.023,672.7,28112.9,19779
Fortive,4634.4,-0.367,1613.3,23881.5,17000
MDC Holdings,3901.2,0.185,367.6,4160.3,1773
NGL Energy Partners,19770.9,-0.179,-397.0,263.5,1400
Edwards Lifesciences,4386.3,0.009,823.4,52027.1,14900
Hanover Insurance Group,4827.3,-0.014,358.7,4709.8,4300
Syneos Health,4415.8,-0.056,192.8,7905.1,24386
Xylem,4876.0,-0.071,254.0,18932.7,16150
Church & Dwight,4895.8,0.123,785.9,21408.4,5100
American Axle & Manufacturing,4710.8,-0.279,-561.3,1100.4,20000
Meritage Homes,4501.2,0.228,423.5,3448.1,1570
Workday,4318.0,0.19,-282.4,60368.5,12500
Rush Enterprises,4735.9,-0.185,114.9,2685.6,6307
Yellow,4513.7,-0.073,-53.5,449.9,30000
Encompass Health,4644.4,0.009,284.2,8129.9,35536
Simon Property Group,4607.5,-0.199,1112.6,37338.1,2850
Globe Life,4737.9,0.046,731.8,11203.5,3261
Skyworks Solutions,3355.7,-0.006,814.8,30290.4,10000
Twitter,3716.3,0.074,-1135.6,50786.4,5500
Leggett & Platt,4280.2,-0.099,247.6,6070.9,20400
Western Union,4835.0,-0.086,744.3,10133.3,11000
PerkinElmer,3782.7,0.312,727.9,14376.4,14000
SS&C Technologies Holdings,4667.9,0.008,625.2,18005.2,24600
FMC,4642.1,-0.004,551.5,14325.0,6400
Carlisle,4245.2,-0.118,320.1,8670.0,12500
American Eagle Outfitters,3759.1,-0.127,-209.3,4874.3,21750
Vertiv Holdings,4370.6,-0.014,-183.6,7028.8,20972
Broadridge Financial Solutions,4529.0,0.038,462.5,17728.8,12000
Ingles Markets,4610.6,0.097,178.6,1245.3,18765
Insperity,4287.0,-0.006,138.2,3199.9,3600
Howmet Aerospace,5259.0,-0.629,261.0,13932.0,19700
Keysight Technologies,4221.0,-0.019,627.0,26684.5,13900
Tempur Sealy International,3676.9,0.184,348.8,7376.6,9000
Scotts Miracle-Gro,4131.6,0.309,387.4,13645.6,6866
Equifax,4127.5,0.177,520.1,22174.5,11400
Kelly Services,4516.0,-0.157,-72.0,875.4,7100
NiSource,4681.7,-0.101,-17.6,9447.7,7345
DoorDash,2886.0,2.261,-461.0,42153.5,3886
Avient,3242.1,-0.033,131.6,4315.5,8400
Sanderson Farms,3564.3,0.036,28.3,3478.6,17445
TransDigm Group,5182.0,-0.061,699.0,32152.7,14200
Stifel Financial,3817.8,0.086,503.5,6724.6,8500
JELD-WEN Holding,4235.7,-0.013,91.6,2770.0,23000
Elanco Animal Health,3273.3,0.066,-560.1,13924.0,10200
Prologis,4438.7,0.333,1481.8,78412.9,1945
Welltower,4606.0,-0.101,978.8,29897.1,423
Darling Ingredients,3571.9,0.062,296.8,12004.7,10000
Gartner,4099.4,-0.034,266.7,16196.1,15600
Par Pacific Holdings,3124.9,-0.421,-409.1,843.7,1403
Hubbell,4186.0,-0.088,351.2,10151.3,19100
CME Group,4883.6,0.003,2105.2,73330.0,4370
Nexstar Media Group,4501.3,0.481,811.4,6092.5,11749
Tutor Perini,5318.8,0.195,108.4,964.8,8700
Antero Resources,3491.7,-0.208,-1267.9,3072.1,522
Teledyne Technologies,3086.2,-0.024,401.9,15314.3,10670
Snap-on,3942.2,-0.031,627.0,12561.0,12300
Rent-A-Center,2814.2,0.054,208.1,3137.5,14320
Crestwood Equity Partners,2254.3,-0.292,-56.1,2074.6,731
Louisiana-Pacific,2788.0,0.207,499.0,5909.0,4500
Urban Outfitters,3449.7,-0.134,1.2,3637.8,14250
Amerco,3978.9,0.056,442.0,12011.7,22200
TriNet Group,4034.0,0.046,272.0,5144.6,2700
Illumina,3239.0,-0.086,656.0,56034.4,8575
Iron Mountain,4147.3,-0.027,342.7,10674.5,24000
LCI Industries,2796.2,0.179,158.4,3328.0,12400
PennyMac Financial Services,4536.0,0.995,1646.9,4630.4,6632
Digital Realty Trust,3903.6,0.216,356.4,39593.1,2878
TreeHouse Foods,4570.5,-0.072,13.8,2921.2,10900
Ralph Lauren,6159.8,-0.024,384.3,9005.3,19300
American National Group,3792.4,-0.068,467.5,2900.3,4600
Autodesk,3790.4,0.158,1208.2,60860.0,11500
Domino's Pizza,4117.4,0.138,491.3,14270.4,10650
ASGN,3950.6,0.007,200.3,5058.3,4200
Flowers Foods,4388.0,0.064,152.3,5038.5,9200
BlueLinx Holdings,3097.3,0.174,80.9,371.1,2100
Palo Alto Networks,3408.4,0.175,-267.0,31318.0,8014
Maximus,3461.5,0.199,214.5,5471.7,34300
Dentsply Sirona,3342.0,-0.171,-83.0,13977.5,15000
Hub Group,3495.6,-0.047,73.6,2316.7,5000
Voya Financial,9133.0,0.021,-206.0,7878.5,5970
Weis Markets,4112.6,0.161,118.9,1520.3,24000
Century Communities,3161.2,0.247,206.2,2033.3,1403
Synopsys,3685.3,0.097,664.3,37755.0,15036
Brink's,3690.9,0.002,16.0,3939.5,75100
Lennox International,3634.1,-0.045,356.3,11757.4,10300
Service Corp. International,3511.5,0.087,515.9,8646.4,20319
Conduent,4163.0,-0.068,-118.0,1412.9,63000
Timken,3513.2,-0.073,284.5,6165.9,17430
Bloomin' Brands,3170.6,-0.234,-158.7,2403.5,77000
CNO Financial Group,3821.1,-0.048,301.8,3245.4,3400
Snap,2506.6,0.461,-944.8,78869.2,3863
Zoom Video Communications,2651.4,3.258,672.3,94367.7,4422
Patrick Industries,2486.6,0.064,97.1,2001.2,8700
Paychex,4040.5,0.071,1098.1,35349.1,15700
Atlas Air Worldwide Holdings,3211.1,0.172,360.3,1740.5,4061
Qorvo,3239.1,0.048,334.3,20693.1,7900
Catalent,3094.3,0.229,220.7,17926.6,13900
Mercury General,3784.5,-0.047,374.6,3367.1,4300
AMN Healthcare Services,2393.7,0.077,70.7,3477.2,3000
Tri Pointe Homes,3260.4,0.058,282.2,2430.3,1163
ArcBest,2940.2,-0.016,71.1,1787.1,13000
Toro,3378.8,0.077,329.7,11099.9,10385
Spirit AeroSystems Holdings,3404.8,-0.567,-870.3,5129.7,14500
Align Technology,2471.9,0.027,1775.9,42854.3,18070
loanDepot,4443.6,2.028,2013.1,6089.1,11763
American Water Works,3777.0,0.046,709.0,27205.6,7000
Matson,2383.3,0.082,193.1,2897.1,4149
Diebold Nixdorf,3902.3,-0.115,-269.1,1104.7,22000
Marriott Vacations Worldwide,2886.0,-0.337,-275.0,7183.2,18000
Terex,3082.4,-0.341,-10.6,3212.3,8200
Sally Beauty Holdings,3514.3,-0.093,113.2,2271.0,30000
Meritor,3044.0,-0.306,245.0,2134.0,8600
Ventas,3795.4,-0.02,439.1,19984.3,448
GoDaddy,3316.7,0.11,-495.1,13201.3,6621
Regal Rexnord,2907.0,-0.102,189.3,5796.2,23000
Clean Harbors,3144.1,-0.079,134.8,4606.2,13500
Pinnacle West Capital,3587.0,0.033,550.6,9167.5,6026
Mueller Industries,2398.0,-0.013,139.5,2361.7,5007
Wynn Resorts,2095.9,-0.683,-2067.2,14497.8,27500
RH,2848.6,0.076,271.8,12526.7,4750
EPAM Systems,2659.5,0.159,327.2,22285.8,41168
M/I Homes,3046.1,0.218,239.9,1719.5,1515
Generac Holdings,2485.2,0.127,350.6,20584.0,6625
Mettler-Toledo International,3085.2,0.025,602.7,26951.7,15700
Abercrombie & Fitch,3125.4,-0.137,-114.0,2131.1,20550
Teradyne,3121.5,0.36,784.1,20267.6,5500
American Equity Investment Life Holding,2424.6,-0.3,671.5,3009.0,656
Southwest Gas Holdings,3298.9,0.057,232.3,3935.9,11149
Pitney Bowes,3554.1,0.022,-181.5,1431.0,11500
Lamb Weston Holdings,3792.4,0.01,365.9,11339.6,7700
Alliant Energy,3416.0,-0.064,614.0,13533.6,3375
Resolute Forest Products,2800.0,-0.042,10.0,884.9,7100
Parsons,3918.9,-0.009,98.5,4139.5,15500
Trimble,3147.7,-0.036,389.9,19551.9,11402
OGE Energy,2122.3,-0.049,-173.7,6472.7,2360
Winnebago Industries,2355.5,0.186,61.4,2577.5,5505
Ciena,3532.2,-0.011,361.3,8481.8,7032
PriceSmart,3329.2,0.033,78.1,2973.9,9500
Advantage Solutions,3155.7,-0.166,-162.4,3760.9,40000
H&R Block,2639.7,-0.147,-7.5,3955.2,42000
iHeartMedia,2948.2,-0.2,-1914.7,2584.6,9588
Super Micro Computer,3339.3,-0.046,84.3,1975.5,3987
Flowserve,3728.1,-0.054,116.3,5056.0,16000
Charles River Laboratories International,2923.9,0.115,364.3,14552.4,18400
A.O. Smith,2895.3,-0.033,344.9,10932.7,13900
Granite Construction,3562.5,0.034,-145.1,1843.0,4100
Valmont Industries,2895.4,0.046,140.7,5053.7,10844
Sprague Resources,2336.0,-0.333,33.8,502.3,765
Primoris Services,3491.5,0.124,105.0,1779.9,10414
Cboe Global Markets,3427.1,0.373,468.2,10580.6,1010
Carter's,3024.3,-0.141,109.7,3908.5,18000
TopBuild,2718.0,0.036,247.0,6925.4,10540
SiteOne Landscape Supply,2704.5,0.147,121.3,7579.5,4680
Texas Roadhouse,2398.1,-0.13,31.3,6679.3,32474
Akamai Technologies,3198.1,0.105,557.1,16632.1,8368
Acuity Brands,3326.3,-0.094,248.3,5891.4,11500
Brown-Forman,3363.0,0.012,827.0,32119.3,4800
Navient,3728.0,-0.326,412.0,2629.8,6485
Option Care Health,3032.6,0.313,-8.1,3189.9,5499
Floor & Decor Holdings,2425.8,0.186,195.0,9988.2,7593
Public Storage,2915.1,0.024,1357.2,43131.1,5400
Cabot,2614.0,-0.217,-238.0,2969.0,4500
Atmos Energy,2821.1,-0.028,601.4,12668.7,4694
Selective Insurance Group,2922.3,0.027,246.4,4354.1,2400
Take-Two Interactive Software,3089.0,0.158,404.5,20351.9,5800
Boyd Gaming,2178.5,-0.345,-134.7,6608.3,14284
Plexus,3390.4,0.071,117.5,2646.7,19500
ScanSource,3609.2,-0.068,-192.7,762.3,2200
Franchise Group,2152.5,7.11,25.1,1447.8,6421
Mr. Cooper Group,2733.0,0.362,305.0,3150.0,9800
Fortinet,2594.4,0.199,488.5,30095.7,8238
Brinker International,3078.5,-0.043,24.4,3230.4,62200
Albemarle,3128.9,-0.128,375.8,17053.7,5900
Peabody Energy,2881.1,-0.377,-1870.3,300.9,4600
Evercore,2285.3,0.126,350.6,5536.1,1791
Stewart Information Services,2288.4,0.18,154.9,1392.0,5800
Central Garden & Pet,2695.5,0.131,120.7,2937.0,5950
GMS,3241.3,0.04,23.4,1788.8,5611
H.B. Fuller,2790.3,-0.037,123.7,3286.9,6428
Middleby,2513.3,-0.151,207.3,9222.1,9289
Renewable Energy Group,2137.1,-0.191,122.8,2977.4,895
MSC Industrial Direct,3192.4,-0.051,251.1,5033.9,6315
Vishay Intertechnology,2501.9,-0.062,122.9,3485.1,21600
Applied Industrial Technologies,3245.7,-0.065,24.0,3540.3,6200
Lincoln Electric Holdings,2655.4,-0.116,206.1,7334.6,10700
First Horizon,3390.0,0.488,845.0,9362.6,8358
AptarGroup,2929.3,0.024,214.0,9352.0,13000
Citrix Systems,3236.7,0.075,504.4,17259.2,9000
IDEXX Laboratories,2706.7,0.125,581.8,41899.5,9300
Tetra Tech,2994.9,-0.036,173.9,7359.9,20000
Lyft,2364.7,-0.346,-1752.9,20781.8,4675
Gannett,3405.7,0.823,-670.5,748.0,20800
ResMed,2957.0,0.134,621.7,28231.7,7770
Designer Brands,2234.7,-0.36,-488.7,1259.8,11400
Graham Holdings,2889.1,-0.015,300.4,2813.1,16661
Worthington Industries,3059.1,-0.186,78.8,3476.1,9000
Calumet Specialty Products Partners,2268.2,-0.343,-149.0,479.7,1400
TransUnion,2716.6,0.023,343.2,17214.5,8200
Travel + Leisure,2160.0,-0.466,-255.0,5255.6,15500
Dycom Industries,3199.2,-0.042,34.3,2842.7,14276
Columbia Sportswear,2501.6,-0.178,108.0,7012.4,7275
II-VI,2380.1,0.747,-67.0,7167.1,22969
Grocery Outlet Holding,3134.6,0.225,106.7,3513.8,860
AMC Networks,2815.0,-0.08,240.0,2204.0,2180
Hyster-Yale Materials Handling,2812.1,-0.146,37.1,1464.7,7600
ChampionX,1900.0,0.68,-743.9,4368.1,6600
Comfort Systems USA,2856.7,0.092,150.1,2705.6,11100
EQT,3058.8,-0.307,-967.2,5181.1,624
Brown & Brown,2613.4,0.092,480.5,12958.2,10843
LGI Homes,2367.9,0.288,323.9,3712.4,938
Hyatt Hotels,2066.0,-0.588,-703.0,8377.5,37000
Comerica,3094.0,-0.189,474.0,10007.1,7681
Energizer Holdings,2860.6,0.048,-93.3,3244.7,5900
Rackspace Technology,2707.1,0.11,-245.8,4887.3,7200
Verisk Analytics,2784.6,0.068,712.7,28763.6,8960
Spectrum Brands Holdings,3964.2,-0.042,97.8,3622.9,12100
Euronet Worldwide,2482.7,-0.097,-3.4,7295.7,8100
TEGNA,2937.8,0.278,482.8,4154.4,6430
Cadence Design Systems,2682.9,0.148,590.6,38229.9,8746
Incyte,2666.7,0.235,-295.7,17866.7,1773
Match Group,2391.3,-0.497,128.6,36951.3,1890
Valvoline,2353.0,-0.015,317.0,4729.7,8800
EnerSys,3087.9,0.1,137.1,3876.0,11400
Avaya Holdings,2873.0,-0.005,-680.0,2351.8,8266
UWM Holdings,4938.6,2.863,3382.5,12729.0,7500
Zions Bancorp.,2942.0,-0.093,539.0,8993.3,9678
Quad/Graphics,3009.0,-0.273,-128.3,194.9,15800
MKS Instruments,2330.0,0.226,350.1,10245.4,5600
Arista Networks,2317.5,-0.039,634.6,23043.7,2613
Interactive Brokers Group,2479.0,-0.039,195.0,6634.3,2033
Range Resources,1968.7,-0.304,-711.8,2671.0,533
Cheesecake Factory,1983.2,-0.201,-253.4,2715.4,42500
First Solar,2711.3,-0.115,398.4,9252.6,5100
Bio-Rad Laboratories,2545.6,0.101,3806.3,17046.3,8000
Newmark Group,1905.0,-0.141,80.1,1834.6,5742
PC Connection,2590.3,-0.081,55.8,1214.3,2598
Boston Properties,2765.7,-0.066,872.7,15776.9,750
Western Midstream Partners,2772.6,0.01,527.0,7678.8,1045
Magellan Midstream Partners,2427.8,-0.11,817.0,9681.5,1720
Hillenbrand,2517.0,0.393,-60.1,3580.8,11000
Donaldson,2581.8,-0.092,257.0,7335.3,12400
Moog,2884.6,-0.007,9.2,2664.8,12623
Hawaiian Electric Industries,2579.8,-0.103,197.8,4855.4,3702
Five Below,1962.1,0.062,123.4,10677.2,12050
Fleetcor Technologies,2388.9,-0.098,704.2,22408.1,8400
West Pharmaceutical Services,2146.9,0.167,346.2,20809.5,9200
Green Plains,1923.7,-0.37,-108.8,1208.8,839
Cracker Barrel Old Country Store,2522.8,-0.179,-32.5,4101.6,55000
Virtu Financial,3239.3,1.117,649.2,5974.4,976
Teleflex,2537.2,-0.022,335.3,19421.8,14000
Zynga,1974.8,0.494,-429.4,11057.4,2245
Allegheny Technologies,2982.1,-0.277,-1572.6,2671.0,6500
Waters,2365.4,-0.017,521.6,17671.3,7412
Hovnanian Enterprises,2343.9,0.162,50.9,650.5,1697
Caleres,2117.1,-0.275,-439.1,827.3,6650
FTI Consulting,2461.3,0.046,210.7,4797.5,6321
Overstock.com,2549.8,0.747,56.0,3151.3,1750
Visteon,2548.0,-0.135,-56.0,3404.3,10000
G-III Apparel Group,2055.1,-0.35,23.5,1458.1,3050
ITT,2477.8,-0.129,72.5,7863.7,9700
IDEX,2351.6,-0.057,377.8,15891.6,7075
Popular,2603.9,-0.08,506.6,5933.5,8522
Brookdale Senior Living,3540.2,-0.127,82.0,1109.9,38250
Werner Enterprises,2372.2,-0.037,169.1,3208.0,12292
Americold Realty Trust,1987.7,0.114,24.5,9708.5,16300
SkyWest,2127.1,-0.284,-8.5,2740.6,12502
Primerica,2217.5,0.08,386.2,5826.2,2528
Nu Skin Enterprises,2581.9,0.067,191.4,2689.2,26000
Copart,2205.6,0.08,699.9,25666.4,7600
PROG Holdings,2484.6,-0.371,-61.5,2931.9,1868
Splunk,2229.4,-0.055,-908.0,22196.9,6500
MRC Global,2560.0,-0.301,-274.0,746.6,2600
Stericycle,2675.5,-0.191,-57.3,6184.5,15290
Ensign Group,2402.6,0.051,170.5,5132.6,24400
Steelcase,3723.7,0.081,199.7,1653.5,13350
Guess,1876.5,-0.299,-81.2,1495.2,11000
Playtika Holding,2371.5,0.256,92.1,11145.3,3800
ManTech International,2518.4,0.133,120.5,3521.7,9400
BrightView Holdings,2346.0,-0.024,-41.6,1773.8,19900
NortonLifeLock,3858.0,-0.185,3887.0,12371.2,3600
Deckers Outdoor,2132.7,0.056,276.1,9307.9,3600
Griffon,2407.5,0.09,53.4,1534.8,7400
Curtiss-Wright,2391.3,-0.039,201.4,4853.0,8200
MYR Group,2247.4,0.085,58.8,1203.2,7200
MillerKnoll,2486.6,-0.031,-9.1,2427.0,7600
Equity Residential,2571.7,-0.048,913.6,26693.9,2600
DexCom,1926.7,0.305,493.6,34755.1,5950
Rollins,2161.2,0.072,260.8,16939.1,15616
Bruker,1987.5,-0.041,157.8,9742.6,7400
Joann,2762.3,0.233,212.3,409.8,27500
Gray Television,2381.0,0.122,410.0,1748.1,7140
Affiliated Managers Group,2027.5,-0.095,202.2,6352.0,3900
Summit Materials,2332.5,0.05,138.0,3216.6,6000
SLM,2353.1,-0.011,880.7,6535.2,1600
Belden,1971.9,-0.209,-55.2,1981.4,6300
Allison Transmission Holdings,2081.0,-0.229,299.0,4536.9,3300
Portland General Electric,2145.0,0.01,155.0,4252.2,3639
REV Group,2277.6,-0.052,-30.5,1236.2,7060
Acadia Healthcare,3209.7,0.033,-672.1,5109.0,35400
Alexandria Real Estate Equities,2315.1,0.334,771.0,22458.6,470
Nordson,2121.1,-0.033,249.5,11540.5,7555
NewMarket,2010.9,-0.082,270.6,4154.4,2105
Stepan,1869.8,0.006,126.8,2858.9,2293
Valhi,1878.1,-0.031,55.2,579.9,2784
Cooper-Standard Holdings,2375.4,-0.236,-267.6,613.7,26550
SBA Communications,2083.1,0.034,24.1,30343.0,1483
Murphy Oil,1971.4,-0.53,-1148.8,2532.3,675
Entegris,1859.3,0.169,295.0,15120.7,5800
AvalonBay Communities,2301.3,-0.01,827.6,25744.2,3028
E.W. Scripps,1915.1,0.345,269.3,1585.5,5400
TTEC Holdings,1949.2,0.186,118.6,4695.0,61000
GEO Group,2350.1,-0.052,113.0,941.3,20000
Viasat,2309.2,0.117,-0.2,3294.2,6100
Benchmark Electronics,2053.1,-0.095,14.1,1123.2,11234
Kar Auction Services,2187.7,-0.376,0.5,1945.5,9400
Kirby,2171.4,-0.235,-272.5,3622.0,5400
Woodward,2495.7,-0.139,240.4,7605.0,7248
Clear Channel Outdoor Holdings,1854.6,-0.309,-582.7,842.1,4800
Spire,1855.4,-0.05,88.6,3817.5,3583
Surgery Partners,1860.1,0.016,-116.1,2649.4,9950
LHC Group,2063.2,-0.008,111.6,6041.2,21150
Amedisys,2105.9,0.077,183.6,8698.0,21000
Aerojet Rocketdyne Holdings,2072.7,0.046,137.7,3758.6,4969
Sleep Number,1856.6,0.093,139.2,3560.3,4625
HNI,1955.4,-0.13,41.9,1698.5,7600
Dropbox,1913.9,0.152,-256.3,11056.4,2760
New Jersey Resources,1953.7,-0.246,193.9,3837.5,1156
Harsco,1874.1,0.035,-26.3,1354.7,11900
Beazer Homes USA,2127.1,0.019,52.2,653.6,1063
Chemed,2079.6,0.073,319.5,7372.2,15544
Ashland Global Holdings,2377.0,-0.322,-508.0,5385.4,4500
