Name,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021
Hewlett Packard Enterprise,26982.0,-0.074,-322.0,20480.0,59400
D.R. Horton,20311.1,0.155,2373.7,32413.1,9716
Molina Healthcare,19423.0,0.154,673.0,13647.3,10500
CBRE Group,23826.2,-0.003,752.0,26549.1,100000
Micron Technology,21435.0,-0.084,2687.0,98678.0,40000
Broadcom,23888.0,0.057,2960.0,189313.5,21000
Gilead Sciences,24689.0,0.1,123.0,81372.8,13600
PBF Energy,15115.9,-0.383,-1392.4,1699.5,3729
Lennar,22488.9,0.01,2465.0,30893.2,9495
United Natural Foods,26742.8,0.139,-274.1,1854.4,28300
NRG Energy,9093.0,-0.079,510.0,9232.1,4104
Nvidia,16675.0,0.527,4332.0,331036.6,18975
Occidental Petroleum,16680.0,-0.241,-14831.0,24848.7,11800
Salesforce,21252.0,0.243,4072.0,195132.3,56606
Dollar Tree,25509.3,0.08,1341.9,26717.4,129772
KKR,9629.7,0.056,2002.5,42352.6,1583
Kraft Heinz,26185.0,0.048,356.0,48924.7,38000
Amgen,25424.0,0.088,7264.0,143704.3,24300
AutoNation,20390.0,-0.044,381.6,7683.2,21600
Penske Automotive Group,20443.9,-0.118,543.6,6485.5,23600
PayPal Holdings,21454.0,0.207,4202.0,284408.3,26500
Macy's,18097.0,-0.286,-3944.0,5028.1,75711
Duke Energy,23453.0,-0.049,1377.0,74252.5,27535
United Airlines Holdings,15355.0,-0.645,-7069.0,18325.1,74400
Visa,21846.0,-0.049,10866.0,452525.4,20500
Rite Aid,21928.4,0.012,-452.2,1129.9,39920
Cummins,19811.0,-0.16,1789.0,37971.1,57825
U.S. Bancorp,25241.0,-0.076,4959.0,83107.4,68108
Paccar,18728.5,-0.268,1298.4,32255.8,26000
McDonald's,19207.8,-0.089,4730.5,167112.5,200000
Southern,20375.0,-0.049,3119.0,65678.9,27700
C.H. Robinson Worldwide,16207.1,0.059,506.4,12514.9,14888
Truist Financial,24427.0,0.666,4482.0,78408.5,53638
Applied Materials,17202.0,0.178,3619.0,122599.5,24000
Freeport-McMoRan,14198.0,-0.014,599.0,48027.8,24500
Lithia Motors,13124.3,0.036,470.3,10467.0,14538
Hartford Financial Services Group,20523.0,-0.01,1737.0,23863.3,18500
Aflac,22147.0,-0.007,4778.0,35191.4,12003
Whirlpool,19456.0,-0.047,1081.0,13831.7,78000
Union Pacific,19533.0,-0.1,5349.0,146948.3,30960
International Paper,20580.0,-0.08,482.0,21240.6,49300
Altria Group,20841.0,0.053,4467.0,95090.6,7100
CDW,18467.5,0.024,788.5,23291.8,10000
ManpowerGroup,18001.0,-0.137,23.8,5434.2,25000
PG&E,18469.0,0.078,-1318.0,23240.6,24000
Baker Hughes,20705.0,-0.131,-9940.0,22494.8,55000
Cleveland-Cliffs,5354.0,1.691,-122.0,10033.0,25000
United States Steel,9741.0,-0.247,-1165.0,7034.0,23350
Becton Dickinson,17117.0,-0.01,874.0,70649.7,72000
CarMax,21424.1,0.119,888.4,21562.7,27050
Sherwin-Williams,18361.7,0.026,2030.4,65837.3,61031
Builders FirstSource,8558.9,0.176,313.5,9572.2,26000
Marsh & McLennan,17224.0,0.034,2016.0,62054.9,76000
PNC Financial Services Group,24039.0,0.112,7517.0,74377.4,50403
Lumen Technologies,20712.0,-0.075,-1232.0,14642.9,39000
Avnet,17634.3,-0.097,-31.1,4128.4,14600
Tenet Healthcare,17640.0,-0.045,399.0,5536.5,97900
Kimberly-Clark,19140.0,0.037,2352.0,46999.8,46000
Kohl's,15955.0,-0.201,-163.0,9394.1,73000
BlackRock,16205.0,0.115,4932.0,115079.8,16500
Jones Lang LaSalle,16589.9,-0.077,402.5,9150.9,90800
Lear,17045.5,-0.14,158.5,10895.8,174600
Lincoln National,17439.0,0.01,499.0,11953.2,10966
Charles Schwab,12109.0,0.027,3299.0,122691.2,32000
Ross Stores,12531.6,-0.219,85.4,42750.7,93700
Mastercard,15301.0,-0.094,6411.0,353686.7,21000
Genuine Parts,17384.4,-0.104,-29.1,16691.8,50000
WestRock,17578.8,-0.039,-690.9,13716.1,49300
EOG Resources,11032.0,-0.365,-604.6,42331.9,2900
Cognizant Technology Solutions,16652.0,-0.008,1392.0,41451.6,289500
Steel Dynamics,9601.5,-0.083,550.8,10721.5,9625
Texas Instruments,14461.0,0.005,5595.0,174439.3,30000
Emerson Electric,16785.0,-0.086,1965.0,54134.7,83500
WESCO International,12326.0,0.475,100.6,4340.5,18000
General Mills,17626.6,0.045,2181.2,37403.4,35000
Tenneco,15379.0,-0.119,-1521.0,875.7,73000
Waste Management,15218.0,-0.015,1496.0,54451.7,48250
DISH Network,15493.4,0.21,1762.7,19048.2,13500
L3Harris Technologies,18194.0,0.415,1119.0,41664.1,48000
DXC Technology,19577.0,-0.076,-5369.0,7958.6,138000
Block,9497.6,1.015,213.1,103220.3,5477
Goodyear Tire & Rubber,12321.0,-0.164,-1254.0,4099.1,62000
Uber Technologies,11139.0,-0.213,-6768.0,101438.0,22800
Colgate-Palmolive,16471.0,0.05,2695.0,66810.3,34200
Stanley Black & Decker,14534.6,0.006,1233.8,32152.4,58350
DuPont,20397.0,-0.052,-2951.0,41308.1,34000
Stryker,14351.0,-0.036,1599.0,91665.1,43000
NextEra Energy,17997.0,-0.063,2919.0,148304.9,14900
Targa Resources,8260.3,-0.047,-1553.9,7259.8,2372
Western Digital,16736.0,0.01,-250.0,20432.0,63800
PPG Industries,13834.0,-0.087,1059.0,35603.6,46900
American Electric Power,14918.5,-0.041,2200.1,42067.3,16787
Gap,13800.0,-0.158,-665.0,11164.9,117000
BJ's Wholesale Club,15430.0,0.17,421.0,6156.5,32000
Reinsurance Group of America,14596.0,0.021,415.0,8568.0,3600
Kinder Morgan,11700.0,-0.114,119.0,37703.1,10524
Oneok,8542.2,-0.16,612.8,22542.9,2886
Expeditors Intl. of Washington,10116.5,0.237,696.1,18166.7,17480
Advanced Micro Devices,9763.0,0.45,2490.0,95346.7,12600
Fiserv,14852.0,0.458,958.0,79692.5,44000
Estée Lauder,14294.0,-0.038,684.0,105508.6,48000
Bank of New York Mellon,16940.0,-0.186,3617.0,41471.0,48500
Laboratory Corp. of America,13978.5,0.21,1556.1,24890.9,68780
Regeneron Pharmaceuticals,8497.1,0.081,3513.2,50688.4,9123
Cheniere Energy,9358.0,-0.038,-85.0,18256.6,1519
Southwest Airlines,9048.0,-0.597,-3074.0,36066.8,56537
Adobe,12868.0,0.152,5260.0,227226.9,22516
Synchrony Financial,16472.0,-0.154,1385.0,23740.6,16500
Corteva,14217.0,0.027,681.0,34528.5,21000
Fidelity National Financial,10778.0,0.273,1427.0,11838.9,27058
DTE Energy,12177.0,-0.039,1368.0,25792.8,10600
Murphy USA,9504.3,-0.215,386.1,3900.8,7400
Halliburton,14445.0,-0.355,-2945.0,19070.1,40000
Automatic Data Processing,14589.8,0.029,2466.5,80653.9,58000
Edison International,13578.0,0.1,739.0,22229.3,13209
Nordstrom,10715.0,-0.31,-690.0,5974.8,62000
Loews,12583.0,-0.157,-931.0,13698.3,12200
Pioneer Natural Resources,6685.0,-0.283,-200.0,34397.3,1853
AutoZone,12632.0,0.065,1733.0,30946.3,80000
Lam Research,10044.7,0.041,2251.8,85064.7,11300
Illinois Tool Works,12574.0,-0.109,2109.0,70106.7,43000
Parker-Hannifin,13695.5,-0.044,1206.3,40716.1,50520
Omnicom Group,13171.1,-0.119,945.4,15946.2,64100
